"DateTime","Active market wallets","Active market wallets"
"2020-11-27 00:00:00",111,111
"2020-11-28 00:00:00",184,184
"2020-11-29 00:00:00",74,74
"2020-11-30 00:00:00",22,22
"2020-12-01 00:00:00",20,20
"2020-12-02 00:00:00",33,33
"2020-12-03 00:00:00",27,27
"2020-12-04 00:00:00",36,36
"2020-12-05 00:00:00",26,26
"2020-12-06 00:00:00",20,20
"2020-12-07 00:00:00",23,23
"2020-12-08 00:00:00",15,15
"2020-12-09 00:00:00",25,25
"2020-12-10 00:00:00",32,32
"2020-12-11 00:00:00",19,19
"2020-12-12 00:00:00",97,97
"2020-12-13 00:00:00",47,47
"2020-12-14 00:00:00",22,22
"2020-12-15 00:00:00",28,28
"2020-12-16 00:00:00",16,16
"2020-12-17 00:00:00",9,9
"2020-12-18 00:00:00",31,31
"2020-12-19 00:00:00",24,24
"2020-12-20 00:00:00",19,19
"2020-12-21 00:00:00",51,51
"2020-12-22 00:00:00",12,12
"2020-12-23 00:00:00",63,63
"2020-12-24 00:00:00",24,24
"2020-12-25 00:00:00",16,16
"2020-12-26 00:00:00",25,25
"2020-12-27 00:00:00",33,33
"2020-12-28 00:00:00",17,17
"2020-12-29 00:00:00",19,19
"2020-12-30 00:00:00",14,14
"2020-12-31 00:00:00",22,22
"2021-01-01 00:00:00",140,140
"2021-01-02 00:00:00",54,54
"2021-01-03 00:00:00",37,37
"2021-01-04 00:00:00",14,14
"2021-01-05 00:00:00",21,21
"2021-01-06 00:00:00",18,18
"2021-01-07 00:00:00",10,10
"2021-01-08 00:00:00",142,142
"2021-01-09 00:00:00",58,58
"2021-01-10 00:00:00",61,61
"2021-01-11 00:00:00",17,17
"2021-01-12 00:00:00",63,63
"2021-01-13 00:00:00",66,66
"2021-01-14 00:00:00",41,41
"2021-01-15 00:00:00",48,48
"2021-01-16 00:00:00",212,212
"2021-01-17 00:00:00",64,64
"2021-01-18 00:00:00",73,73
"2021-01-19 00:00:00",35,35
"2021-01-20 00:00:00",36,36
"2021-01-21 00:00:00",115,115
"2021-01-22 00:00:00",27,27
"2021-01-23 00:00:00",28,28
"2021-01-24 00:00:00",29,29
"2021-01-25 00:00:00",33,33
"2021-01-26 00:00:00",124,124
"2021-01-27 00:00:00",47,47
"2021-01-28 00:00:00",22,22
"2021-01-29 00:00:00",27,27
"2021-01-30 00:00:00",14,14
"2021-01-31 00:00:00",212,212
"2021-02-01 00:00:00",70,70
"2021-02-02 00:00:00",56,56
"2021-02-03 00:00:00",36,36
"2021-02-04 00:00:00",49,49
"2021-02-05 00:00:00",29,29
"2021-02-06 00:00:00",13,13
"2021-02-07 00:00:00",140,140
"2021-02-08 00:00:00",104,104
"2021-02-09 00:00:00",59,59
"2021-02-10 00:00:00",62,62
"2021-02-11 00:00:00",55,55
"2021-02-12 00:00:00",45,45
"2021-02-13 00:00:00",183,183
"2021-02-14 00:00:00",119,119
"2021-02-15 00:00:00",173,173
"2021-02-16 00:00:00",171,171
"2021-02-17 00:00:00",151,151
"2021-02-18 00:00:00",109,109
"2021-02-19 00:00:00",307,307
"2021-02-20 00:00:00",204,204
"2021-02-21 00:00:00",353,353
"2021-02-22 00:00:00",260,260
"2021-02-23 00:00:00",300,300
"2021-02-24 00:00:00",355,355
"2021-02-25 00:00:00",131,131
"2021-02-26 00:00:00",125,125
"2021-02-27 00:00:00",406,406
"2021-02-28 00:00:00",353,353
"2021-03-01 00:00:00",382,382
"2021-03-02 00:00:00",559,559
"2021-03-03 00:00:00",203,203
"2021-03-04 00:00:00",157,157
"2021-03-05 00:00:00",695,695
"2021-03-06 00:00:00",215,215
"2021-03-07 00:00:00",98,98
"2021-03-08 00:00:00",118,118
"2021-03-09 00:00:00",83,83
"2021-03-10 00:00:00",83,83
"2021-03-11 00:00:00",102,102
"2021-03-12 00:00:00",98,98
"2021-03-13 00:00:00",57,57
"2021-03-14 00:00:00",54,54
"2021-03-15 00:00:00",67,67
"2021-03-16 00:00:00",65,65
"2021-03-17 00:00:00",1528,1528
"2021-03-18 00:00:00",324,324
"2021-03-19 00:00:00",151,151
"2021-03-20 00:00:00",1036,1036
"2021-03-21 00:00:00",360,360
"2021-03-22 00:00:00",332,332
"2021-03-23 00:00:00",148,148
"2021-03-24 00:00:00",97,97
"2021-03-25 00:00:00",77,77
"2021-03-26 00:00:00",74,74
"2021-03-27 00:00:00",82,82
"2021-03-28 00:00:00",478,478
"2021-03-29 00:00:00",293,293
"2021-03-30 00:00:00",158,158
"2021-03-31 00:00:00",228,228
"2021-04-01 00:00:00",165,165
"2021-04-02 00:00:00",200,200
"2021-04-03 00:00:00",124,124
"2021-04-04 00:00:00",143,143
"2021-04-05 00:00:00",442,442
"2021-04-06 00:00:00",224,224
"2021-04-08 00:00:00",193,193
"2021-04-09 00:00:00",192,192
"2021-04-10 00:00:00",621,621
"2021-04-11 00:00:00",355,355
