"DateTime","Average USD","Average USD"
"2020-11-27 00:00:00",32.21,32.21
"2020-11-28 00:00:00",23.8,23.8
"2020-11-29 00:00:00",25.57,25.57
"2020-11-30 00:00:00",39.63,39.63
"2020-12-01 00:00:00",26.13,26.13
"2020-12-02 00:00:00",22.74,22.74
"2020-12-03 00:00:00",22.21,22.21
"2020-12-04 00:00:00",23.81,23.81
"2020-12-05 00:00:00",20.19,20.19
"2020-12-06 00:00:00",19.1,19.1
"2020-12-07 00:00:00",20.96,20.96
"2020-12-08 00:00:00",18.34,18.34
"2020-12-09 00:00:00",22.07,22.07
"2020-12-10 00:00:00",18.46,18.46
"2020-12-11 00:00:00",19.02,19.02
"2020-12-12 00:00:00",26.98,26.98
"2020-12-13 00:00:00",43.04,43.04
"2020-12-14 00:00:00",23.26,23.26
"2020-12-15 00:00:00",27.84,27.84
"2020-12-16 00:00:00",27.82,27.82
"2020-12-17 00:00:00",37.29,37.29
"2020-12-18 00:00:00",46.95,46.95
"2020-12-19 00:00:00",31.91,31.91
"2020-12-20 00:00:00",33.33,33.33
"2020-12-21 00:00:00",60.4,60.4
"2020-12-22 00:00:00",22.63,22.63
"2020-12-23 00:00:00",16.1,16.1
"2020-12-24 00:00:00",24.11,24.11
"2020-12-25 00:00:00",20.4,20.4
"2020-12-26 00:00:00",21.85,21.85
"2020-12-27 00:00:00",27.41,27.41
"2020-12-28 00:00:00",30.93,30.93
"2020-12-29 00:00:00",26.2,26.2
"2020-12-30 00:00:00",100.3,100.3
"2020-12-31 00:00:00",64.08,64.08
"2021-01-01 00:00:00",80.87,80.87
"2021-01-02 00:00:00",94.98,94.98
"2021-01-03 00:00:00",523.61,523.61
"2021-01-04 00:00:00",843.98,843.98
"2021-01-05 00:00:00",364.65,364.65
"2021-01-06 00:00:00",109.19,109.19
"2021-01-07 00:00:00",457.72,457.72
"2021-01-08 00:00:00",274.96,274.96
"2021-01-09 00:00:00",349.8,349.8
"2021-01-10 00:00:00",341.68,341.68
"2021-01-11 00:00:00",66.88,66.88
"2021-01-12 00:00:00",127.26,127.26
"2021-01-13 00:00:00",83.55,83.55
"2021-01-14 00:00:00",60.38,60.38
"2021-01-15 00:00:00",45.98,45.98
"2021-01-16 00:00:00",84.3,84.3
"2021-01-17 00:00:00",438.54,438.54
"2021-01-18 00:00:00",369.2,369.2
"2021-01-19 00:00:00",560.37,560.37
"2021-01-20 00:00:00",55.56,55.56
"2021-01-21 00:00:00",130.79,130.79
"2021-01-22 00:00:00",191.7,191.7
"2021-01-23 00:00:00",69.09,69.09
"2021-01-24 00:00:00",153.62,153.62
"2021-01-25 00:00:00",317.8,317.8
"2021-01-26 00:00:00",180.8,180.8
"2021-01-27 00:00:00",526.27,526.27
"2021-01-28 00:00:00",465.48,465.48
"2021-01-29 00:00:00",378.51,378.51
"2021-01-30 00:00:00",215.16,215.16
"2021-01-31 00:00:00",167.92,167.92
"2021-02-01 00:00:00",875.12,875.12
"2021-02-02 00:00:00",1378.72,1378.72
"2021-02-03 00:00:00",498.29,498.29
"2021-02-04 00:00:00",519.04,519.04
"2021-02-05 00:00:00",455.62,455.62
"2021-02-06 00:00:00",5539.29,5539.29
"2021-02-07 00:00:00",384.59,384.59
"2021-02-08 00:00:00",303.67,303.67
"2021-02-09 00:00:00",672.47,672.47
"2021-02-10 00:00:00",745.71,745.71
"2021-02-11 00:00:00",314,314
"2021-02-12 00:00:00",377.96,377.96
"2021-02-13 00:00:00",319.96,319.96
"2021-02-14 00:00:00",945.32,945.32
"2021-02-15 00:00:00",470.62,470.62
"2021-02-16 00:00:00",522.67,522.67
"2021-02-17 00:00:00",383.45,383.45
"2021-02-18 00:00:00",537.92,537.92
"2021-02-19 00:00:00",413.18,413.18
"2021-02-20 00:00:00",851.44,851.44
"2021-02-21 00:00:00",428.26,428.26
"2021-02-22 00:00:00",1846.38,1846.38
"2021-02-23 00:00:00",733.88,733.88
"2021-02-24 00:00:00",1474.64,1474.64
"2021-02-25 00:00:00",1619.4,1619.4
"2021-02-26 00:00:00",1812.42,1812.42
"2021-02-27 00:00:00",1154.98,1154.98
"2021-02-28 00:00:00",1173.65,1173.65
"2021-03-01 00:00:00",1194,1194
"2021-03-02 00:00:00",407.28,407.28
"2021-03-03 00:00:00",1833.95,1833.95
"2021-03-04 00:00:00",3264.57,3264.57
"2021-03-05 00:00:00",594.62,594.62
"2021-03-06 00:00:00",2384.24,2384.24
"2021-03-07 00:00:00",2029.89,2029.89
"2021-03-08 00:00:00",1755.87,1755.87
"2021-03-09 00:00:00",2166.18,2166.18
"2021-03-10 00:00:00",2556,2556
"2021-03-11 00:00:00",2545.2,2545.2
"2021-03-12 00:00:00",2189.32,2189.32
"2021-03-13 00:00:00",2383.81,2383.81
"2021-03-14 00:00:00",5282.32,5282.32
"2021-03-15 00:00:00",1180.58,1180.58
"2021-03-16 00:00:00",1750.35,1750.35
"2021-03-17 00:00:00",272,272
"2021-03-18 00:00:00",1762.88,1762.88
"2021-03-19 00:00:00",1524.24,1524.24
"2021-03-20 00:00:00",327.91,327.91
"2021-03-21 00:00:00",736.48,736.48
"2021-03-22 00:00:00",604.76,604.76
"2021-03-23 00:00:00",558.45,558.45
"2021-03-24 00:00:00",1035.2,1035.2
"2021-03-25 00:00:00",1137.96,1137.96
"2021-03-26 00:00:00",768.77,768.77
"2021-03-27 00:00:00",636.57,636.57
"2021-03-28 00:00:00",273.43,273.43
"2021-03-29 00:00:00",420.72,420.72
"2021-03-30 00:00:00",497.17,497.17
"2021-03-31 00:00:00",527.49,527.49
"2021-04-01 00:00:00",579.31,579.31
"2021-04-02 00:00:00",818.4,818.4
"2021-04-03 00:00:00",1213.97,1213.97
"2021-04-04 00:00:00",615.23,615.23
"2021-04-05 00:00:00",361.3,361.3
"2021-04-06 00:00:00",1097.59,1097.59
"2021-04-07 00:00:00",471.38,471.38
