"DateTime","Number of sales","Number of sales"
"2020-11-27 00:00:00",1577,1577
"2020-11-28 00:00:00",923,923
"2020-11-29 00:00:00",324,324
"2020-11-30 00:00:00",63,63
"2020-12-01 00:00:00",80,80
"2020-12-02 00:00:00",251,251
"2020-12-03 00:00:00",220,220
"2020-12-04 00:00:00",358,358
"2020-12-05 00:00:00",312,312
"2020-12-06 00:00:00",157,157
"2020-12-07 00:00:00",131,131
"2020-12-08 00:00:00",53,53
"2020-12-09 00:00:00",120,120
"2020-12-10 00:00:00",233,233
"2020-12-11 00:00:00",90,90
"2020-12-12 00:00:00",831,831
"2020-12-13 00:00:00",149,149
"2020-12-14 00:00:00",90,90
"2020-12-15 00:00:00",84,84
"2020-12-16 00:00:00",32,32
"2020-12-17 00:00:00",12,12
"2020-12-18 00:00:00",93,93
"2020-12-19 00:00:00",82,82
"2020-12-20 00:00:00",128,128
"2020-12-21 00:00:00",208,208
"2020-12-22 00:00:00",109,109
"2020-12-23 00:00:00",65,65
"2020-12-24 00:00:00",139,139
"2020-12-25 00:00:00",56,56
"2020-12-26 00:00:00",211,211
"2020-12-27 00:00:00",465,465
"2020-12-28 00:00:00",32,32
"2020-12-29 00:00:00",33,33
"2020-12-30 00:00:00",9,9
"2020-12-31 00:00:00",44,44
"2021-01-01 00:00:00",1127,1127
"2021-01-02 00:00:00",201,201
"2021-01-03 00:00:00",58,58
"2021-01-04 00:00:00",9,9
"2021-01-05 00:00:00",23,23
"2021-01-06 00:00:00",16,16
"2021-01-07 00:00:00",5,5
"2021-01-08 00:00:00",608,608
"2021-01-09 00:00:00",97,97
"2021-01-10 00:00:00",147,147
"2021-01-11 00:00:00",15,15
"2021-01-12 00:00:00",131,131
"2021-01-13 00:00:00",343,343
"2021-01-14 00:00:00",287,287
"2021-01-15 00:00:00",760,760
"2021-01-16 00:00:00",1858,1858
"2021-01-17 00:00:00",74,74
"2021-01-18 00:00:00",120,120
"2021-01-19 00:00:00",37,37
"2021-01-20 00:00:00",250,250
"2021-01-21 00:00:00",459,459
"2021-01-22 00:00:00",55,55
"2021-01-23 00:00:00",65,65
"2021-01-24 00:00:00",28,28
"2021-01-25 00:00:00",35,35
"2021-01-26 00:00:00",462,462
"2021-01-27 00:00:00",40,40
"2021-01-28 00:00:00",19,19
"2021-01-29 00:00:00",22,22
"2021-01-30 00:00:00",10,10
"2021-01-31 00:00:00",1086,1086
"2021-02-01 00:00:00",79,79
"2021-02-02 00:00:00",64,64
"2021-02-03 00:00:00",27,27
"2021-02-04 00:00:00",43,43
"2021-02-05 00:00:00",18,18
"2021-02-06 00:00:00",7,7
"2021-02-07 00:00:00",506,506
"2021-02-08 00:00:00",240,240
"2021-02-09 00:00:00",92,92
"2021-02-10 00:00:00",66,66
"2021-02-11 00:00:00",79,79
"2021-02-12 00:00:00",46,46
"2021-02-13 00:00:00",523,523
"2021-02-14 00:00:00",178,178
"2021-02-15 00:00:00",485,485
"2021-02-16 00:00:00",353,353
"2021-02-17 00:00:00",360,360
"2021-02-18 00:00:00",166,166
"2021-02-19 00:00:00",988,988
"2021-02-20 00:00:00",450,450
"2021-02-21 00:00:00",1401,1401
"2021-02-22 00:00:00",417,417
"2021-02-23 00:00:00",880,880
"2021-02-24 00:00:00",670,670
"2021-02-25 00:00:00",136,136
"2021-02-26 00:00:00",145,145
"2021-02-27 00:00:00",790,790
"2021-02-28 00:00:00",715,715
"2021-03-01 00:00:00",532,532
"2021-03-02 00:00:00",1224,1224
"2021-03-03 00:00:00",198,198
"2021-03-04 00:00:00",125,125
"2021-03-05 00:00:00",893,893
"2021-03-06 00:00:00",155,155
"2021-03-07 00:00:00",68,68
"2021-03-08 00:00:00",93,93
"2021-03-09 00:00:00",84,84
"2021-03-10 00:00:00",66,66
"2021-03-11 00:00:00",88,88
"2021-03-12 00:00:00",83,83
"2021-03-13 00:00:00",41,41
"2021-03-14 00:00:00",45,45
"2021-03-15 00:00:00",47,47
"2021-03-16 00:00:00",51,51
"2021-03-17 00:00:00",1656,1656
"2021-03-18 00:00:00",322,322
"2021-03-19 00:00:00",113,113
"2021-03-20 00:00:00",1200,1200
"2021-03-21 00:00:00",459,459
"2021-03-22 00:00:00",541,541
"2021-03-23 00:00:00",198,198
"2021-03-24 00:00:00",111,111
"2021-03-25 00:00:00",87,87
"2021-03-26 00:00:00",88,88
"2021-03-27 00:00:00",85,85
"2021-03-28 00:00:00",850,850
"2021-03-29 00:00:00",511,511
"2021-03-30 00:00:00",188,188
"2021-03-31 00:00:00",292,292
"2021-04-01 00:00:00",196,196
"2021-04-02 00:00:00",261,261
"2021-04-03 00:00:00",163,163
"2021-04-04 00:00:00",193,193
"2021-04-05 00:00:00",528,528
"2021-04-06 00:00:00",305,305
"2021-04-07 00:00:00",572,572
"2021-04-08 00:00:00",255,255
"2021-04-09 00:00:00",232,232
"2021-04-10 00:00:00",791,791
"2021-04-11 00:00:00",474,474
"2021-04-12 00:00:00",213,213
"2021-04-13 00:00:00",345,345
"2021-04-14 00:00:00",528,528
"2021-04-15 00:00:00",108,108
"2021-04-16 00:00:00",729,729
"2021-04-17 00:00:00",86,86
"2021-04-18 00:00:00",65,65
"2021-04-19 00:00:00",77,77
"2021-04-20 00:00:00",45,45
"2021-04-21 00:00:00",82,82
"2021-04-22 00:00:00",48,48
"2021-04-23 00:00:00",878,878
"2021-04-24 00:00:00",299,299
"2021-04-25 00:00:00",159,159
"2021-04-26 00:00:00",395,395
"2021-04-27 00:00:00",134,134
"2021-04-28 00:00:00",85,85
"2021-04-29 00:00:00",153,153
"2021-04-30 00:00:00",814,814
"2021-05-01 00:00:00",460,460
"2021-05-02 00:00:00",133,133
"2021-05-03 00:00:00",85,85
"2021-05-04 00:00:00",171,171
"2021-05-05 00:00:00",101,101
"2021-05-06 00:00:00",65,65
"2021-05-07 00:00:00",478,478
"2021-05-08 00:00:00",97,97
"2021-05-09 00:00:00",90,90
"2021-05-10 00:00:00",21,21
"2021-05-11 00:00:00",6,6
"2021-05-12 00:00:00",12,12
"2021-05-13 00:00:00",39,39
"2021-05-14 00:00:00",1115,1115
"2021-05-15 00:00:00",171,171
"2021-05-16 00:00:00",65,65
"2021-05-17 00:00:00",99,99
"2021-05-18 00:00:00",174,174
"2021-05-19 00:00:00",110,110
"2021-05-20 00:00:00",110,110
"2021-05-21 00:00:00",343,343
"2021-05-22 00:00:00",296,296
"2021-05-23 00:00:00",77,77
"2021-05-24 00:00:00",151,151
"2021-05-25 00:00:00",176,176
"2021-05-26 00:00:00",48,48
"2021-05-27 00:00:00",68,68
"2021-05-28 00:00:00",571,571
"2021-05-29 00:00:00",688,688
"2021-05-30 00:00:00",73,73
"2021-05-31 00:00:00",438,438
"2021-06-01 00:00:00",403,403
"2021-06-02 00:00:00",62,62
"2021-06-03 00:00:00",83,83
"2021-06-04 00:00:00",61,61
"2021-06-05 00:00:00",31,31
"2021-06-06 00:00:00",46,46
"2021-06-07 00:00:00",37,37
"2021-06-08 00:00:00",40,40
"2021-06-09 00:00:00",48,48
"2021-06-10 00:00:00",79,79
"2021-06-11 00:00:00",1252,1252
"2021-06-12 00:00:00",260,260
"2021-06-13 00:00:00",386,386
"2021-06-14 00:00:00",86,86
"2021-06-15 00:00:00",227,227
"2021-06-16 00:00:00",376,376
"2021-06-17 00:00:00",275,275
"2021-06-18 00:00:00",1314,1314
"2021-06-19 00:00:00",253,253
"2021-06-20 00:00:00",501,501
"2021-06-21 00:00:00",428,428
"2021-06-22 00:00:00",332,332
"2021-06-23 00:00:00",435,435
"2021-06-24 00:00:00",2119,2119
"2021-06-25 00:00:00",2016,2016
"2021-06-26 00:00:00",1304,1304
"2021-06-27 00:00:00",633,633
"2021-06-28 00:00:00",1616,1616
"2021-06-29 00:00:00",762,762
"2021-06-30 00:00:00",903,903
"2021-07-01 00:00:00",399,399
"2021-07-02 00:00:00",1394,1394
"2021-07-03 00:00:00",1012,1012
"2021-07-04 00:00:00",373,373
"2021-07-05 00:00:00",1582,1582
"2021-07-06 00:00:00",189,189
"2021-07-07 00:00:00",1316,1316
"2021-07-08 00:00:00",255,255
"2021-07-09 00:00:00",659,659
"2021-07-10 00:00:00",1320,1320
"2021-07-11 00:00:00",1016,1016
"2021-07-12 00:00:00",315,315
