"DateTime","Unique buyers","Unique buyers"
"2020-11-27 00:00:00",110,110
"2020-11-28 00:00:00",180,180
"2020-11-29 00:00:00",72,72
"2020-11-30 00:00:00",17,17
"2020-12-01 00:00:00",17,17
"2020-12-02 00:00:00",27,27
"2020-12-03 00:00:00",22,22
"2020-12-04 00:00:00",31,31
"2020-12-05 00:00:00",24,24
"2020-12-06 00:00:00",19,19
"2020-12-07 00:00:00",21,21
"2020-12-08 00:00:00",13,13
"2020-12-09 00:00:00",21,21
"2020-12-10 00:00:00",29,29
"2020-12-11 00:00:00",16,16
"2020-12-12 00:00:00",93,93
"2020-12-13 00:00:00",38,38
"2020-12-14 00:00:00",16,16
"2020-12-15 00:00:00",22,22
"2020-12-16 00:00:00",11,11
"2020-12-17 00:00:00",6,6
"2020-12-18 00:00:00",28,28
"2020-12-19 00:00:00",16,16
"2020-12-20 00:00:00",14,14
"2020-12-21 00:00:00",48,48
"2020-12-22 00:00:00",8,8
"2020-12-23 00:00:00",56,56
"2020-12-24 00:00:00",15,15
"2020-12-25 00:00:00",10,10
"2020-12-26 00:00:00",20,20
"2020-12-27 00:00:00",23,23
"2020-12-28 00:00:00",10,10
"2020-12-29 00:00:00",14,14
"2020-12-30 00:00:00",7,7
"2020-12-31 00:00:00",16,16
"2021-01-01 00:00:00",134,134
"2021-01-02 00:00:00",39,39
"2021-01-03 00:00:00",20,20
"2021-01-04 00:00:00",9,9
"2021-01-05 00:00:00",12,12
"2021-01-06 00:00:00",11,11
"2021-01-07 00:00:00",5,5
"2021-01-08 00:00:00",133,133
"2021-01-09 00:00:00",36,36
"2021-01-10 00:00:00",39,39
"2021-01-11 00:00:00",12,12
"2021-01-12 00:00:00",43,43
"2021-01-13 00:00:00",46,46
"2021-01-14 00:00:00",29,29
"2021-01-15 00:00:00",37,37
"2021-01-16 00:00:00",195,195
"2021-01-17 00:00:00",37,37
"2021-01-18 00:00:00",42,42
"2021-01-19 00:00:00",18,18
"2021-01-20 00:00:00",20,20
"2021-01-21 00:00:00",108,108
"2021-01-22 00:00:00",15,15
"2021-01-23 00:00:00",15,15
"2021-01-24 00:00:00",16,16
"2021-01-25 00:00:00",17,17
"2021-01-26 00:00:00",118,118
"2021-01-27 00:00:00",24,24
"2021-01-28 00:00:00",13,13
"2021-01-29 00:00:00",9,9
"2021-01-30 00:00:00",8,8
"2021-01-31 00:00:00",203,203
"2021-02-01 00:00:00",27,27
"2021-02-02 00:00:00",21,21
"2021-02-03 00:00:00",20,20
"2021-02-04 00:00:00",23,23
"2021-02-05 00:00:00",14,14
"2021-02-06 00:00:00",7,7
"2021-02-07 00:00:00",125,125
"2021-02-08 00:00:00",78,78
"2021-02-09 00:00:00",31,31
"2021-02-10 00:00:00",28,28
"2021-02-11 00:00:00",36,36
"2021-02-12 00:00:00",28,28
"2021-02-13 00:00:00",170,170
"2021-02-14 00:00:00",64,64
"2021-02-15 00:00:00",125,125
"2021-02-16 00:00:00",118,118
"2021-02-17 00:00:00",84,84
"2021-02-18 00:00:00",70,70
"2021-02-19 00:00:00",269,269
"2021-02-20 00:00:00",131,131
"2021-02-21 00:00:00",263,263
"2021-02-22 00:00:00",176,176
"2021-02-23 00:00:00",186,186
"2021-02-24 00:00:00",221,221
"2021-02-25 00:00:00",67,67
"2021-02-26 00:00:00",63,63
"2021-02-27 00:00:00",364,364
"2021-02-28 00:00:00",309,309
"2021-03-01 00:00:00",332,332
"2021-03-02 00:00:00",520,520
"2021-03-03 00:00:00",99,99
"2021-03-04 00:00:00",85,85
"2021-03-05 00:00:00",666,666
"2021-03-06 00:00:00",114,114
