"DateTime","Average USD","Average USD"
"2018-02-15 00:00:00",,
"2018-02-16 00:00:00",,
"2018-02-17 00:00:00",,
"2018-02-18 00:00:00",,
"2018-02-19 00:00:00",,
"2018-02-20 00:00:00",,
"2018-02-21 00:00:00",,
"2018-02-22 00:00:00",,
"2018-02-23 00:00:00",,
"2018-02-24 00:00:00",,
"2018-02-25 00:00:00",,
"2018-02-26 00:00:00",,
"2018-02-27 00:00:00",,
"2018-02-28 00:00:00",,
"2018-03-01 00:00:00",,
"2018-03-02 00:00:00",,
"2018-03-03 00:00:00",,
"2018-03-04 00:00:00",,
"2018-03-05 00:00:00",,
"2018-03-06 00:00:00",,
"2018-03-07 00:00:00",,
"2018-03-08 00:00:00",,
"2018-03-09 00:00:00",,
"2018-03-10 00:00:00",,
"2018-03-11 00:00:00",,
"2018-03-12 00:00:00",,
"2018-03-13 00:00:00",,
"2018-03-14 00:00:00",,
"2018-03-15 00:00:00",,
"2018-03-16 00:00:00",,
"2018-03-17 00:00:00",,
"2018-03-18 00:00:00",,
"2018-03-19 00:00:00",,
"2018-03-20 00:00:00",,
"2018-03-21 00:00:00",,
"2018-03-22 00:00:00",,
"2018-03-23 00:00:00",,
"2018-03-24 00:00:00",,
"2018-03-25 00:00:00",197.1,197.1
"2018-03-26 00:00:00",294.65,294.65
"2018-03-27 00:00:00",143.17,143.17
"2018-03-28 00:00:00",307.04,307.04
"2018-03-29 00:00:00",214.05,214.05
"2018-03-30 00:00:00",322.25,322.25
"2018-03-31 00:00:00",189.76,189.76
"2018-04-01 00:00:00",199.68,199.68
"2018-04-02 00:00:00",81.97,81.97
"2018-04-03 00:00:00",85.76,85.76
"2018-04-04 00:00:00",70.32,70.32
"2018-04-05 00:00:00",227.17,227.17
"2018-04-06 00:00:00",155.5,155.5
"2018-04-07 00:00:00",99.94,99.94
"2018-04-08 00:00:00",166.05,166.05
"2018-04-09 00:00:00",234.01,234.01
"2018-04-10 00:00:00",115.62,115.62
"2018-04-11 00:00:00",1136.96,1136.96
"2018-04-12 00:00:00",67.58,67.58
"2018-04-13 00:00:00",360.23,360.23
"2018-04-14 00:00:00",423.4,423.4
"2018-04-15 00:00:00",187.7,187.7
"2018-04-16 00:00:00",214.73,214.73
"2018-04-17 00:00:00",273,273
"2018-04-18 00:00:00",309.05,309.05
"2018-04-19 00:00:00",646.03,646.03
"2018-04-20 00:00:00",418.75,418.75
"2018-04-21 00:00:00",164.29,164.29
"2018-04-22 00:00:00",120.05,120.05
"2018-04-23 00:00:00",576.71,576.71
"2018-04-24 00:00:00",321.37,321.37
"2018-04-25 00:00:00",259.49,259.49
"2018-04-26 00:00:00",225.55,225.55
"2018-04-27 00:00:00",,
"2018-04-28 00:00:00",295.97,295.97
"2018-04-29 00:00:00",114.34,114.34
"2018-04-30 00:00:00",182.27,182.27
"2018-05-01 00:00:00",328.53,328.53
"2018-05-02 00:00:00",129.05,129.05
"2018-05-03 00:00:00",173.44,173.44
"2018-05-04 00:00:00",51.36,51.36
"2018-05-05 00:00:00",25.22,25.22
"2018-05-06 00:00:00",35.19,35.19
"2018-05-07 00:00:00",160.99,160.99
"2018-05-08 00:00:00",49.1,49.1
"2018-05-09 00:00:00",80.77,80.77
"2018-05-10 00:00:00",45.17,45.17
"2018-05-11 00:00:00",19.87,19.87
"2018-05-12 00:00:00",20.62,20.62
"2018-05-13 00:00:00",28.28,28.28
"2018-05-14 00:00:00",48.39,48.39
"2018-05-15 00:00:00",55.51,55.51
"2018-05-16 00:00:00",43.71,43.71
"2018-05-17 00:00:00",40,40
"2018-05-18 00:00:00",1.33,1.33
"2018-05-19 00:00:00",24.64,24.64
"2018-05-20 00:00:00",82.63,82.63
"2018-05-21 00:00:00",76.92,76.92
"2018-05-22 00:00:00",93.32,93.32
"2018-05-23 00:00:00",47.96,47.96
"2018-05-24 00:00:00",52.54,52.54
"2018-05-25 00:00:00",119.28,119.28
"2018-05-26 00:00:00",51.98,51.98
"2018-05-27 00:00:00",72.5,72.5
"2018-05-28 00:00:00",58.77,58.77
"2018-05-29 00:00:00",83.78,83.78
"2018-05-30 00:00:00",146.79,146.79
"2018-05-31 00:00:00",85.13,85.13
"2018-06-01 00:00:00",78.99,78.99
"2018-06-02 00:00:00",156.69,156.69
"2018-06-03 00:00:00",124.21,124.21
"2018-06-04 00:00:00",301.23,301.23
"2018-06-05 00:00:00",153.27,153.27
"2018-06-06 00:00:00",175.69,175.69
"2018-06-07 00:00:00",138.28,138.28
"2018-06-08 00:00:00",100,100
"2018-06-09 00:00:00",75.87,75.87
"2018-06-10 00:00:00",84.88,84.88
"2018-06-11 00:00:00",52.9,52.9
"2018-06-12 00:00:00",60.59,60.59
"2018-06-13 00:00:00",39.64,39.64
"2018-06-14 00:00:00",45.01,45.01
"2018-06-15 00:00:00",38.62,38.62
