"DateTime","Active market wallets","Active market wallets"
"2021-04-25 00:00:00",8,8
"2021-04-26 00:00:00",18,18
"2021-04-27 00:00:00",20,20
"2021-04-28 00:00:00",19,19
"2021-04-29 00:00:00",31,31
"2021-04-30 00:00:00",97,97
"2021-05-01 00:00:00",1490,1490
"2021-05-02 00:00:00",1147,1147
"2021-05-03 00:00:00",883,883
"2021-05-04 00:00:00",416,416
"2021-05-05 00:00:00",332,332
"2021-05-06 00:00:00",260,260
"2021-05-07 00:00:00",212,212
"2021-05-08 00:00:00",150,150
"2021-05-09 00:00:00",164,164
"2021-05-10 00:00:00",98,98
"2021-05-11 00:00:00",63,63
"2021-05-12 00:00:00",72,72
"2021-05-13 00:00:00",84,84
"2021-05-14 00:00:00",70,70
"2021-05-15 00:00:00",85,85
"2021-05-16 00:00:00",121,121
"2021-05-17 00:00:00",78,78
"2021-05-18 00:00:00",113,113
"2021-05-19 00:00:00",79,79
"2021-05-20 00:00:00",119,119
"2021-05-21 00:00:00",118,118
"2021-05-22 00:00:00",110,110
"2021-05-23 00:00:00",105,105
"2021-05-24 00:00:00",128,128
"2021-05-25 00:00:00",111,111
"2021-05-26 00:00:00",86,86
"2021-05-27 00:00:00",105,105
"2021-05-28 00:00:00",162,162
"2021-05-29 00:00:00",183,183
"2021-05-30 00:00:00",572,572
"2021-05-31 00:00:00",504,504
"2021-06-01 00:00:00",558,558
"2021-06-02 00:00:00",305,305
"2021-06-03 00:00:00",229,229
"2021-06-04 00:00:00",159,159
"2021-06-05 00:00:00",323,323
"2021-06-06 00:00:00",418,418
"2021-06-07 00:00:00",531,531
"2021-06-08 00:00:00",329,329
"2021-06-09 00:00:00",210,210
"2021-06-10 00:00:00",184,184
"2021-06-11 00:00:00",191,191
"2021-06-12 00:00:00",118,118
"2021-06-13 00:00:00",162,162
"2021-06-14 00:00:00",144,144
"2021-06-15 00:00:00",277,277
"2021-06-16 00:00:00",227,227
"2021-06-17 00:00:00",277,277
"2021-06-18 00:00:00",439,439
"2021-06-19 00:00:00",803,803
"2021-06-20 00:00:00",631,631
"2021-06-21 00:00:00",471,471
"2021-06-22 00:00:00",241,241
"2021-06-23 00:00:00",251,251
"2021-06-24 00:00:00",261,261
"2021-06-25 00:00:00",662,662
"2021-06-26 00:00:00",789,789
"2021-06-27 00:00:00",432,432
"2021-06-28 00:00:00",299,299
"2021-06-29 00:00:00",281,281
"2021-06-30 00:00:00",238,238
"2021-07-01 00:00:00",178,178
"2021-07-02 00:00:00",155,155
"2021-07-03 00:00:00",126,126
"2021-07-04 00:00:00",142,142
"2021-07-05 00:00:00",141,141
"2021-07-06 00:00:00",140,140
"2021-07-07 00:00:00",173,173
"2021-07-08 00:00:00",156,156
"2021-07-09 00:00:00",173,173
"2021-07-10 00:00:00",175,175
"2021-07-11 00:00:00",242,242
"2021-07-12 00:00:00",382,382
"2021-07-13 00:00:00",347,347
"2021-07-14 00:00:00",355,355
"2021-07-15 00:00:00",448,448
"2021-07-16 00:00:00",570,570
"2021-07-17 00:00:00",963,963
"2021-07-18 00:00:00",374,374
"2021-07-19 00:00:00",722,722
"2021-07-20 00:00:00",671,671
"2021-07-21 00:00:00",379,379
"2021-07-22 00:00:00",197,197
"2021-07-23 00:00:00",174,174
"2021-07-24 00:00:00",106,106
"2021-07-25 00:00:00",132,132
"2021-07-26 00:00:00",173,173
"2021-07-27 00:00:00",202,202
"2021-07-28 00:00:00",148,148
"2021-07-29 00:00:00",74,74
"2021-07-30 00:00:00",127,127
"2021-07-31 00:00:00",331,331
"2021-08-01 00:00:00",519,519
"2021-08-02 00:00:00",229,229
"2021-08-03 00:00:00",432,432
"2021-08-04 00:00:00",985,985
"2021-08-05 00:00:00",419,419
"2021-08-06 00:00:00",477,477
"2021-08-07 00:00:00",330,330
"2021-08-08 00:00:00",282,282
"2021-08-09 00:00:00",230,230
"2021-08-10 00:00:00",186,186
"2021-08-11 00:00:00",170,170
"2021-08-12 00:00:00",150,150
"2021-08-13 00:00:00",131,131
"2021-08-14 00:00:00",184,184
"2021-08-15 00:00:00",185,185
"2021-08-16 00:00:00",123,123
"2021-08-17 00:00:00",105,105
"2021-08-18 00:00:00",103,103
"2021-08-19 00:00:00",108,108
"2021-08-20 00:00:00",304,304
"2021-08-21 00:00:00",594,594
"2021-08-22 00:00:00",193,193
"2021-08-23 00:00:00",499,499
"2021-08-24 00:00:00",769,769
"2021-08-25 00:00:00",320,320
"2021-08-26 00:00:00",268,268
"2021-08-27 00:00:00",273,273
"2021-08-28 00:00:00",880,880
"2021-08-29 00:00:00",6924,6924
"2021-08-30 00:00:00",1815,1815
"2021-08-31 00:00:00",1070,1070
"2021-09-01 00:00:00",814,814
"2021-09-02 00:00:00",694,694
"2021-09-03 00:00:00",537,537
"2021-09-04 00:00:00",368,368
"2021-09-05 00:00:00",468,468
"2021-09-06 00:00:00",396,396
"2021-09-07 00:00:00",281,281
"2021-09-08 00:00:00",347,347
"2021-09-09 00:00:00",293,293
"2021-09-10 00:00:00",302,302
"2021-09-11 00:00:00",167,167
"2021-09-12 00:00:00",170,170
"2021-09-13 00:00:00",209,209
"2021-09-14 00:00:00",253,253
"2021-09-15 00:00:00",373,373
"2021-09-16 00:00:00",372,372
"2021-09-17 00:00:00",187,187
"2021-09-18 00:00:00",161,161
"2021-09-19 00:00:00",174,174
"2021-09-20 00:00:00",162,162
"2021-09-21 00:00:00",486,486
"2021-09-22 00:00:00",262,262
"2021-09-23 00:00:00",220,220
"2021-09-24 00:00:00",222,222
"2021-09-25 00:00:00",155,155
"2021-09-26 00:00:00",174,174
"2021-09-27 00:00:00",192,192
"2021-09-28 00:00:00",211,211
"2021-09-29 00:00:00",176,176
"2021-09-30 00:00:00",204,204
"2021-10-01 00:00:00",187,187
"2021-10-02 00:00:00",176,176
"2021-10-03 00:00:00",202,202
"2021-10-04 00:00:00",188,188
"2021-10-05 00:00:00",180,180
"2021-10-06 00:00:00",183,183
"2021-10-07 00:00:00",176,176
"2021-10-08 00:00:00",404,404
"2021-10-09 00:00:00",223,223
"2021-10-10 00:00:00",129,129
"2021-10-11 00:00:00",135,135
"2021-10-12 00:00:00",141,141
"2021-10-13 00:00:00",205,205
"2021-10-14 00:00:00",187,187
"2021-10-15 00:00:00",154,154
"2021-10-16 00:00:00",128,128
"2021-10-17 00:00:00",116,116
"2021-10-18 00:00:00",88,88
"2021-10-19 00:00:00",132,132
"2021-10-20 00:00:00",159,159
"2021-10-21 00:00:00",188,188
"2021-10-22 00:00:00",253,253
"2021-10-23 00:00:00",208,208
"2021-10-24 00:00:00",84,84
"2021-10-25 00:00:00",121,121
"2021-10-26 00:00:00",113,113
"2021-10-27 00:00:00",132,132
"2021-10-28 00:00:00",186,186
"2021-10-29 00:00:00",180,180
"2021-10-30 00:00:00",133,133
"2021-10-31 00:00:00",136,136
"2021-11-01 00:00:00",111,111
"2021-11-02 00:00:00",143,143
"2021-11-03 00:00:00",154,154
"2021-11-04 00:00:00",181,181
"2021-11-05 00:00:00",158,158
"2021-11-06 00:00:00",183,183
"2021-11-07 00:00:00",282,282
"2021-11-08 00:00:00",219,219
"2021-11-09 00:00:00",167,167
"2021-11-10 00:00:00",177,177
"2021-11-11 00:00:00",233,233
"2021-11-12 00:00:00",307,307
"2021-11-13 00:00:00",1247,1247
"2021-11-14 00:00:00",1204,1204
"2021-11-15 00:00:00",728,728
"2021-11-16 00:00:00",697,697
"2021-11-17 00:00:00",875,875
"2021-11-18 00:00:00",508,508
"2021-11-19 00:00:00",298,298
"2021-11-20 00:00:00",229,229
"2021-11-21 00:00:00",194,194
"2021-11-22 00:00:00",181,181
"2021-11-23 00:00:00",124,124
"2021-11-24 00:00:00",125,125
"2021-11-25 00:00:00",133,133
"2021-11-26 00:00:00",132,132
"2021-11-27 00:00:00",117,117
"2021-11-28 00:00:00",155,155
"2021-11-29 00:00:00",201,201
"2021-11-30 00:00:00",137,137
"2021-12-01 00:00:00",146,146
"2021-12-02 00:00:00",181,181
"2021-12-03 00:00:00",214,214
"2021-12-04 00:00:00",228,228
"2021-12-05 00:00:00",172,172
"2021-12-06 00:00:00",130,130
"2021-12-07 00:00:00",132,132
"2021-12-08 00:00:00",127,127
"2021-12-09 00:00:00",148,148
"2021-12-10 00:00:00",162,162
"2021-12-11 00:00:00",123,123
"2021-12-12 00:00:00",104,104
"2021-12-13 00:00:00",154,154
"2021-12-14 00:00:00",150,150
"2021-12-15 00:00:00",148,148
"2021-12-16 00:00:00",122,122
"2021-12-17 00:00:00",176,176
"2021-12-18 00:00:00",135,135
"2021-12-19 00:00:00",106,106
"2021-12-20 00:00:00",132,132
"2021-12-21 00:00:00",225,225
"2021-12-22 00:00:00",299,299
"2021-12-23 00:00:00",509,509
"2021-12-24 00:00:00",463,463
"2021-12-25 00:00:00",433,433
"2021-12-26 00:00:00",907,907
"2021-12-27 00:00:00",976,976
"2021-12-28 00:00:00",397,397
"2021-12-29 00:00:00",419,419
"2021-12-30 00:00:00",331,331
"2021-12-31 00:00:00",346,346
"2022-01-01 00:00:00",874,874
"2022-01-02 00:00:00",1220,1220
"2022-01-03 00:00:00",848,848
"2022-01-04 00:00:00",378,378
"2022-01-05 00:00:00",330,330
"2022-01-06 00:00:00",289,289
"2022-01-07 00:00:00",235,235
"2022-01-08 00:00:00",214,214
"2022-01-09 00:00:00",348,348
"2022-01-10 00:00:00",315,315
"2022-01-11 00:00:00",196,196
"2022-01-12 00:00:00",180,180
"2022-01-13 00:00:00",159,159
"2022-01-14 00:00:00",166,166
"2022-01-15 00:00:00",279,279
"2022-01-16 00:00:00",183,183
"2022-01-17 00:00:00",221,221
"2022-01-18 00:00:00",173,173
"2022-01-19 00:00:00",160,160
"2022-01-20 00:00:00",196,196
"2022-01-21 00:00:00",230,230
"2022-01-22 00:00:00",175,175
"2022-01-23 00:00:00",215,215
"2022-01-24 00:00:00",201,201
"2022-01-25 00:00:00",475,475
"2022-01-26 00:00:00",502,502
"2022-01-27 00:00:00",272,272
"2022-01-28 00:00:00",319,319
"2022-01-29 00:00:00",467,467
"2022-01-30 00:00:00",699,699
"2022-01-31 00:00:00",617,617
"2022-02-01 00:00:00",281,281
"2022-02-02 00:00:00",184,184
"2022-02-03 00:00:00",247,247
"2022-02-04 00:00:00",163,163
"2022-02-05 00:00:00",107,107
"2022-02-06 00:00:00",135,135
"2022-02-07 00:00:00",157,157
"2022-02-08 00:00:00",160,160
"2022-02-09 00:00:00",150,150
"2022-02-10 00:00:00",120,120
"2022-02-11 00:00:00",105,105
"2022-02-12 00:00:00",141,141
"2022-02-13 00:00:00",145,145
"2022-02-14 00:00:00",83,83
"2022-02-15 00:00:00",116,116
"2022-02-16 00:00:00",94,94
"2022-02-17 00:00:00",99,99
"2022-02-18 00:00:00",81,81
"2022-02-19 00:00:00",84,84
"2022-02-20 00:00:00",64,64
"2022-02-21 00:00:00",71,71
"2022-02-22 00:00:00",100,100
"2022-02-23 00:00:00",89,89
"2022-02-24 00:00:00",257,257
"2022-02-25 00:00:00",188,188
"2022-02-26 00:00:00",78,78
"2022-02-27 00:00:00",77,77
"2022-02-28 00:00:00",71,71
"2022-03-01 00:00:00",71,71
"2022-03-02 00:00:00",92,92
"2022-03-03 00:00:00",83,83
"2022-03-04 00:00:00",100,100
"2022-03-05 00:00:00",104,104
"2022-03-06 00:00:00",76,76
"2022-03-07 00:00:00",150,150
"2022-03-08 00:00:00",148,148
"2022-03-09 00:00:00",103,103
"2022-03-10 00:00:00",171,171
"2022-03-11 00:00:00",141,141
"2022-03-12 00:00:00",216,216
"2022-03-13 00:00:00",278,278
"2022-03-14 00:00:00",130,130
"2022-03-15 00:00:00",221,221
"2022-03-16 00:00:00",692,692
"2022-03-17 00:00:00",1188,1188
"2022-03-18 00:00:00",701,701
"2022-03-19 00:00:00",529,529
"2022-03-20 00:00:00",272,272
"2022-03-21 00:00:00",192,192
"2022-03-22 00:00:00",189,189
"2022-03-23 00:00:00",262,262
"2022-03-24 00:00:00",332,332
"2022-03-25 00:00:00",181,181
"2022-03-26 00:00:00",160,160
"2022-03-27 00:00:00",162,162
"2022-03-28 00:00:00",151,151
"2022-03-29 00:00:00",129,129
"2022-03-30 00:00:00",160,160
"2022-03-31 00:00:00",177,177
"2022-04-01 00:00:00",161,161
"2022-04-02 00:00:00",149,149
"2022-04-03 00:00:00",104,104
"2022-04-04 00:00:00",154,154
"2022-04-05 00:00:00",207,207
"2022-04-06 00:00:00",147,147
"2022-04-07 00:00:00",118,118
"2022-04-08 00:00:00",114,114
"2022-04-09 00:00:00",64,64
"2022-04-10 00:00:00",79,79
"2022-04-11 00:00:00",122,122
"2022-04-12 00:00:00",108,108
"2022-04-13 00:00:00",147,147
"2022-04-14 00:00:00",104,104
"2022-04-15 00:00:00",80,80
"2022-04-16 00:00:00",92,92
"2022-04-17 00:00:00",91,91
"2022-04-18 00:00:00",330,330
"2022-04-19 00:00:00",404,404
"2022-04-19 23:59:59",267,267
"2022-04-20 23:59:59",200,200
"2022-04-21 23:59:59",495,495
"2022-04-22 23:59:59",367,367
"2022-04-23 23:59:59",430,430
"2022-04-24 23:59:59",288,288
"2022-04-25 23:59:59",320,320
"2022-04-26 23:59:59",193,193
"2022-04-27 23:59:59",221,221
"2022-04-28 23:59:59",210,210
"2022-04-29 23:59:59",434,434
"2022-04-30 23:59:59",398,398
"2022-05-01 23:59:59",461,461
"2022-05-02 23:59:59",460,460
"2022-05-04 00:00:00",253,253
"2022-05-05 00:00:00",167,167
"2022-05-06 00:00:00",175,175
"2022-05-07 00:00:00",196,196
"2022-05-08 00:00:00",147,147
"2022-05-09 00:00:00",319,319
"2022-05-10 00:00:00",373,373
"2022-05-11 00:00:00",203,203
"2022-05-12 00:00:00",269,269
"2022-05-13 00:00:00",286,286
"2022-05-14 00:00:00",116,116
"2022-05-15 00:00:00",96,96
