"DateTime","Average USD","Average USD"
"2021-04-25 00:00:00",183.62,183.62
"2021-04-26 00:00:00",198.59,198.59
"2021-04-27 00:00:00",204.71,204.71
"2021-04-28 00:00:00",215.45,215.45
"2021-04-29 00:00:00",219.25,219.25
"2021-04-30 00:00:00",221.81,221.81
"2021-05-01 00:00:00",337.48,337.48
"2021-05-02 00:00:00",2301.68,2301.68
"2021-05-03 00:00:00",2657.02,2657.02
"2021-05-04 00:00:00",2819.33,2819.33
"2021-05-05 00:00:00",2357.26,2357.26
"2021-05-06 00:00:00",2473.23,2473.23
"2021-05-07 00:00:00",2055.3,2055.3
"2021-05-08 00:00:00",2657.96,2657.96
"2021-05-09 00:00:00",2566.07,2566.07
"2021-05-10 00:00:00",2570.01,2570.01
"2021-05-11 00:00:00",1577.69,1577.69
"2021-05-12 00:00:00",2198.69,2198.69
"2021-05-13 00:00:00",1734.96,1734.96
"2021-05-14 00:00:00",2277.31,2277.31
"2021-05-15 00:00:00",3181.37,3181.37
"2021-05-16 00:00:00",2937.88,2937.88
"2021-05-17 00:00:00",1835.46,1835.46
"2021-05-18 00:00:00",1583.61,1583.61
"2021-05-19 00:00:00",1564.86,1564.86
"2021-05-20 00:00:00",1574.22,1574.22
"2021-05-21 00:00:00",1461.69,1461.69
"2021-05-22 00:00:00",1358.96,1358.96
"2021-05-23 00:00:00",1052.82,1052.82
"2021-05-24 00:00:00",1196.24,1196.24
"2021-05-25 00:00:00",1597.28,1597.28
"2021-05-26 00:00:00",1768.64,1768.64
"2021-05-27 00:00:00",1778.78,1778.78
"2021-05-28 00:00:00",1639.5,1639.5
"2021-05-29 00:00:00",1567.01,1567.01
"2021-05-30 00:00:00",2097.83,2097.83
"2021-05-31 00:00:00",2772.15,2772.15
"2021-06-01 00:00:00",4002.97,4002.97
"2021-06-02 00:00:00",3676.91,3676.91
"2021-06-03 00:00:00",4416.84,4416.84
"2021-06-04 00:00:00",3440.65,3440.65
"2021-06-05 00:00:00",4554.49,4554.49
"2021-06-06 00:00:00",4552.07,4552.07
"2021-06-07 00:00:00",6060.07,6060.07
"2021-06-08 00:00:00",6655.65,6655.65
"2021-06-09 00:00:00",6260.29,6260.29
"2021-06-10 00:00:00",5967.86,5967.86
"2021-06-11 00:00:00",5653.3,5653.3
"2021-06-12 00:00:00",5642.83,5642.83
"2021-06-13 00:00:00",5466.39,5466.39
"2021-06-14 00:00:00",6523.92,6523.92
"2021-06-15 00:00:00",8829.61,8829.61
"2021-06-16 00:00:00",8081.23,8081.23
"2021-06-17 00:00:00",8517.17,8517.17
"2021-06-18 00:00:00",5035.58,5035.58
"2021-06-19 00:00:00",5633,5633
"2021-06-20 00:00:00",9543.84,9543.84
"2021-06-21 00:00:00",7449.38,7449.38
"2021-06-22 00:00:00",6697.33,6697.33
"2021-06-23 00:00:00",6609.79,6609.79
"2021-06-24 00:00:00",7450.71,7450.71
"2021-06-25 00:00:00",5003.37,5003.37
