"DateTime","Number of sales","Number of sales"
"2021-04-25 00:00:00",7,7
"2021-04-26 00:00:00",70,70
"2021-04-27 00:00:00",46,46
"2021-04-28 00:00:00",49,49
"2021-04-29 00:00:00",68,68
"2021-04-30 00:00:00",297,297
"2021-05-01 00:00:00",11159,11159
"2021-05-02 00:00:00",1706,1706
"2021-05-03 00:00:00",1142,1142
"2021-05-04 00:00:00",350,350
"2021-05-05 00:00:00",269,269
"2021-05-06 00:00:00",191,191
"2021-05-07 00:00:00",155,155
"2021-05-08 00:00:00",97,97
"2021-05-09 00:00:00",119,119
"2021-05-10 00:00:00",62,62
"2021-05-11 00:00:00",35,35
"2021-05-12 00:00:00",41,41
"2021-05-13 00:00:00",48,48
"2021-05-14 00:00:00",43,43
"2021-05-15 00:00:00",55,55
"2021-05-16 00:00:00",85,85
"2021-05-17 00:00:00",53,53
"2021-05-18 00:00:00",80,80
"2021-05-19 00:00:00",52,52
"2021-05-20 00:00:00",84,84
"2021-05-21 00:00:00",90,90
"2021-05-22 00:00:00",70,70
"2021-05-23 00:00:00",74,74
"2021-05-24 00:00:00",100,100
"2021-05-25 00:00:00",80,80
"2021-05-26 00:00:00",56,56
"2021-05-27 00:00:00",73,73
"2021-05-28 00:00:00",134,134
"2021-05-29 00:00:00",145,145
"2021-05-30 00:00:00",603,603
"2021-05-31 00:00:00",471,471
"2021-06-01 00:00:00",518,518
"2021-06-02 00:00:00",294,294
"2021-06-03 00:00:00",177,177
"2021-06-04 00:00:00",125,125
"2021-06-05 00:00:00",255,255
"2021-06-06 00:00:00",347,347
"2021-06-07 00:00:00",525,525
"2021-06-08 00:00:00",267,267
"2021-06-09 00:00:00",162,162
"2021-06-10 00:00:00",128,128
"2021-06-11 00:00:00",127,127
"2021-06-12 00:00:00",79,79
"2021-06-13 00:00:00",130,130
"2021-06-14 00:00:00",94,94
"2021-06-15 00:00:00",199,199
"2021-06-16 00:00:00",158,158
"2021-06-17 00:00:00",215,215
"2021-06-18 00:00:00",424,424
"2021-06-19 00:00:00",831,831
"2021-06-20 00:00:00",731,731
"2021-06-21 00:00:00",496,496
"2021-06-22 00:00:00",214,214
"2021-06-23 00:00:00",227,227
"2021-06-24 00:00:00",230,230
"2021-06-25 00:00:00",643,643
"2021-06-26 00:00:00",804,804
"2021-06-27 00:00:00",355,355
"2021-06-28 00:00:00",211,211
"2021-06-29 00:00:00",197,197
"2021-06-30 00:00:00",159,159
"2021-07-01 00:00:00",126,126
"2021-07-02 00:00:00",102,102
"2021-07-03 00:00:00",84,84
"2021-07-04 00:00:00",93,93
"2021-07-05 00:00:00",96,96
"2021-07-06 00:00:00",99,99
"2021-07-07 00:00:00",115,115
"2021-07-08 00:00:00",126,126
"2021-07-09 00:00:00",131,131
"2021-07-10 00:00:00",120,120
"2021-07-11 00:00:00",203,203
"2021-07-12 00:00:00",299,299
"2021-07-13 00:00:00",280,280
"2021-07-14 00:00:00",276,276
"2021-07-15 00:00:00",381,381
"2021-07-16 00:00:00",464,464
"2021-07-17 00:00:00",943,943
"2021-07-18 00:00:00",297,297
"2021-07-19 00:00:00",698,698
"2021-07-20 00:00:00",576,576
"2021-07-21 00:00:00",309,309
"2021-07-22 00:00:00",139,139
"2021-07-23 00:00:00",129,129
"2021-07-24 00:00:00",68,68
"2021-07-25 00:00:00",85,85
"2021-07-26 00:00:00",116,116
"2021-07-27 00:00:00",136,136
"2021-07-28 00:00:00",88,88
"2021-07-29 00:00:00",43,43
"2021-07-30 00:00:00",104,104
"2021-07-31 00:00:00",229,229
"2021-08-01 00:00:00",411,411
"2021-08-02 00:00:00",145,145
"2021-08-03 00:00:00",304,304
"2021-08-04 00:00:00",864,864
"2021-08-05 00:00:00",272,272
"2021-08-06 00:00:00",352,352
"2021-08-07 00:00:00",235,235
"2021-08-08 00:00:00",209,209
"2021-08-09 00:00:00",146,146
"2021-08-10 00:00:00",117,117
"2021-08-11 00:00:00",103,103
"2021-08-12 00:00:00",84,84
"2021-08-13 00:00:00",82,82
"2021-08-14 00:00:00",123,123
"2021-08-15 00:00:00",120,120
"2021-08-16 00:00:00",74,74
"2021-08-17 00:00:00",61,61
"2021-08-18 00:00:00",60,60
"2021-08-19 00:00:00",68,68
"2021-08-20 00:00:00",208,208
"2021-08-21 00:00:00",446,446
"2021-08-22 00:00:00",128,128
"2021-08-23 00:00:00",360,360
"2021-08-24 00:00:00",605,605
"2021-08-25 00:00:00",218,218
"2021-08-26 00:00:00",187,187
"2021-08-27 00:00:00",176,176
"2021-08-28 00:00:00",699,699
"2021-08-29 00:00:00",15819,15819
"2021-08-30 00:00:00",1399,1399
"2021-08-31 00:00:00",775,775
"2021-09-01 00:00:00",526,526
"2021-09-02 00:00:00",462,462
"2021-09-03 00:00:00",333,333
"2021-09-04 00:00:00",230,230
"2021-09-05 00:00:00",300,300
"2021-09-06 00:00:00",238,238
"2021-09-07 00:00:00",169,169
"2021-09-08 00:00:00",214,214
"2021-09-09 00:00:00",171,171
"2021-09-10 00:00:00",175,175
"2021-09-11 00:00:00",100,100
"2021-09-12 00:00:00",97,97
"2021-09-13 00:00:00",137,137
"2021-09-14 00:00:00",156,156
"2021-09-15 00:00:00",223,223
"2021-09-16 00:00:00",223,223
"2021-09-17 00:00:00",118,118
"2021-09-18 00:00:00",95,95
"2021-09-19 00:00:00",102,102
"2021-09-20 00:00:00",91,91
"2021-09-21 00:00:00",300,300
"2021-09-22 00:00:00",156,156
"2021-09-23 00:00:00",133,133
"2021-09-24 00:00:00",129,129
"2021-09-25 00:00:00",86,86
"2021-09-26 00:00:00",105,105
"2021-09-27 00:00:00",113,113
"2021-09-28 00:00:00",113,113
"2021-09-29 00:00:00",99,99
"2021-09-30 00:00:00",122,122
"2021-10-01 00:00:00",110,110
"2021-10-02 00:00:00",94,94
"2021-10-03 00:00:00",114,114
"2021-10-04 00:00:00",103,103
"2021-10-05 00:00:00",106,106
"2021-10-06 00:00:00",102,102
"2021-10-07 00:00:00",103,103
"2021-10-08 00:00:00",251,251
"2021-10-09 00:00:00",131,131
"2021-10-10 00:00:00",73,73
"2021-10-11 00:00:00",77,77
"2021-10-12 00:00:00",79,79
"2021-10-13 00:00:00",113,113
"2021-10-14 00:00:00",119,119
"2021-10-15 00:00:00",92,92
"2021-10-16 00:00:00",69,69
"2021-10-17 00:00:00",66,66
"2021-10-18 00:00:00",46,46
"2021-10-19 00:00:00",76,76
"2021-10-20 00:00:00",91,91
"2021-10-21 00:00:00",111,111
"2021-10-22 00:00:00",157,157
"2021-10-23 00:00:00",119,119
"2021-10-24 00:00:00",47,47
"2021-10-25 00:00:00",78,78
"2021-10-26 00:00:00",65,65
"2021-10-27 00:00:00",78,78
"2021-10-28 00:00:00",129,129
"2021-10-29 00:00:00",102,102
"2021-10-30 00:00:00",73,73
"2021-10-31 00:00:00",74,74
"2021-11-01 00:00:00",66,66
"2021-11-02 00:00:00",85,85
"2021-11-03 00:00:00",89,89
"2021-11-04 00:00:00",103,103
"2021-11-05 00:00:00",97,97
"2021-11-06 00:00:00",103,103
"2021-11-07 00:00:00",164,164
"2021-11-08 00:00:00",120,120
"2021-11-09 00:00:00",104,104
"2021-11-10 00:00:00",103,103
"2021-11-11 00:00:00",136,136
"2021-11-12 00:00:00",184,184
"2021-11-13 00:00:00",845,845
"2021-11-14 00:00:00",828,828
"2021-11-15 00:00:00",438,438
"2021-11-16 00:00:00",429,429
"2021-11-17 00:00:00",554,554
"2021-11-18 00:00:00",312,312
"2021-11-19 00:00:00",171,171
"2021-11-20 00:00:00",131,131
"2021-11-21 00:00:00",109,109
"2021-11-22 00:00:00",102,102
"2021-11-23 00:00:00",68,68
"2021-11-24 00:00:00",68,68
"2021-11-25 00:00:00",73,73
"2021-11-26 00:00:00",72,72
"2021-11-27 00:00:00",74,74
"2021-11-28 00:00:00",86,86
"2021-11-29 00:00:00",115,115
"2021-11-30 00:00:00",76,76
"2021-12-01 00:00:00",85,85
"2021-12-02 00:00:00",105,105
"2021-12-03 00:00:00",118,118
"2021-12-04 00:00:00",130,130
"2021-12-05 00:00:00",96,96
"2021-12-06 00:00:00",74,74
"2021-12-07 00:00:00",76,76
"2021-12-08 00:00:00",78,78
"2021-12-09 00:00:00",88,88
"2021-12-10 00:00:00",99,99
"2021-12-11 00:00:00",73,73
"2021-12-12 00:00:00",60,60
"2021-12-13 00:00:00",89,89
"2021-12-14 00:00:00",84,84
"2021-12-15 00:00:00",84,84
"2021-12-16 00:00:00",68,68
"2021-12-17 00:00:00",98,98
"2021-12-18 00:00:00",70,70
"2021-12-19 00:00:00",59,59
"2021-12-20 00:00:00",73,73
"2021-12-21 00:00:00",129,129
"2021-12-22 00:00:00",169,169
"2021-12-23 00:00:00",297,297
"2021-12-24 00:00:00",266,266
"2021-12-25 00:00:00",255,255
"2021-12-26 00:00:00",569,569
"2021-12-27 00:00:00",669,669
"2021-12-28 00:00:00",234,234
"2021-12-29 00:00:00",250,250
"2021-12-30 00:00:00",200,200
"2021-12-31 00:00:00",204,204
"2022-01-01 00:00:00",607,607
"2022-01-02 00:00:00",909,909
"2022-01-03 00:00:00",593,593
"2022-01-04 00:00:00",235,235
"2022-01-05 00:00:00",220,220
"2022-01-06 00:00:00",188,188
"2022-01-07 00:00:00",150,150
"2022-01-08 00:00:00",134,134
"2022-01-09 00:00:00",218,218
"2022-01-10 00:00:00",209,209
"2022-01-11 00:00:00",118,118
"2022-01-12 00:00:00",107,107
"2022-01-13 00:00:00",93,93
"2022-01-14 00:00:00",94,94
"2022-01-15 00:00:00",166,166
"2022-01-16 00:00:00",115,115
"2022-01-17 00:00:00",142,142
"2022-01-18 00:00:00",97,97
"2022-01-19 00:00:00",103,103
"2022-01-20 00:00:00",116,116
"2022-01-21 00:00:00",135,135
"2022-01-22 00:00:00",108,108
"2022-01-23 00:00:00",141,141
"2022-01-24 00:00:00",124,124
"2022-01-25 00:00:00",300,300
"2022-01-26 00:00:00",317,317
"2022-01-27 00:00:00",167,167
"2022-01-28 00:00:00",193,193
"2022-01-29 00:00:00",297,297
"2022-01-30 00:00:00",481,481
"2022-01-31 00:00:00",392,392
"2022-02-01 00:00:00",164,164
"2022-02-02 00:00:00",144,144
"2022-02-03 00:00:00",154,154
"2022-02-04 00:00:00",96,96
"2022-02-05 00:00:00",71,71
"2022-02-06 00:00:00",93,93
"2022-02-07 00:00:00",99,99
"2022-02-08 00:00:00",103,103
"2022-02-09 00:00:00",86,86
"2022-02-10 00:00:00",83,83
"2022-02-11 00:00:00",59,59
"2022-02-12 00:00:00",93,93
"2022-02-13 00:00:00",118,118
"2022-02-14 00:00:00",71,71
"2022-02-15 00:00:00",89,89
"2022-02-16 00:00:00",82,82
"2022-02-17 00:00:00",67,67
"2022-02-18 00:00:00",57,57
"2022-02-19 00:00:00",66,66
"2022-02-20 00:00:00",64,64
"2022-02-21 00:00:00",59,59
"2022-02-22 00:00:00",74,74
"2022-02-23 00:00:00",72,72
"2022-02-24 00:00:00",160,160
"2022-02-25 00:00:00",115,115
"2022-02-26 00:00:00",56,56
"2022-02-27 00:00:00",48,48
"2022-02-28 00:00:00",43,43
"2022-03-01 00:00:00",45,45
"2022-03-02 00:00:00",59,59
"2022-03-03 00:00:00",54,54
"2022-03-04 00:00:00",74,74
"2022-03-05 00:00:00",74,74
"2022-03-06 00:00:00",52,52
"2022-03-07 00:00:00",98,98
"2022-03-08 00:00:00",89,89
"2022-03-09 00:00:00",58,58
"2022-03-10 00:00:00",118,118
"2022-03-11 00:00:00",90,90
"2022-03-12 00:00:00",131,131
"2022-03-13 00:00:00",191,191
"2022-03-14 00:00:00",78,78
"2022-03-15 00:00:00",129,129
"2022-03-16 00:00:00",468,468
"2022-03-17 00:00:00",906,906
"2022-03-18 00:00:00",497,497
"2022-03-19 00:00:00",337,337
"2022-03-20 00:00:00",181,181
"2022-03-21 00:00:00",128,128
"2022-03-22 00:00:00",117,117
"2022-03-23 00:00:00",176,176
"2022-03-24 00:00:00",221,221
"2022-03-25 00:00:00",122,122
"2022-03-26 00:00:00",108,108
"2022-03-27 00:00:00",109,109
"2022-03-28 00:00:00",100,100
"2022-03-29 00:00:00",79,79
"2022-03-30 00:00:00",96,96
"2022-03-31 00:00:00",109,109
"2022-04-01 00:00:00",102,102
"2022-04-02 00:00:00",95,95
"2022-04-03 00:00:00",67,67
"2022-04-04 00:00:00",92,92
"2022-04-05 00:00:00",143,143
"2022-04-06 00:00:00",95,95
"2022-04-07 00:00:00",67,67
"2022-04-08 00:00:00",72,72
"2022-04-09 00:00:00",36,36
"2022-04-10 00:00:00",45,45
"2022-04-11 00:00:00",82,82
"2022-04-12 00:00:00",74,74
"2022-04-13 00:00:00",101,101
"2022-04-14 00:00:00",65,65
"2022-04-15 00:00:00",59,59
"2022-04-16 00:00:00",55,55
"2022-04-17 00:00:00",61,61
"2022-04-18 00:00:00",209,209
"2022-04-19 00:00:00",230,230
"2022-04-19 23:59:59",180,180
"2022-04-20 23:59:59",140,140
"2022-04-21 23:59:59",333,333
"2022-04-22 23:59:59",253,253
"2022-04-23 23:59:59",348,348
"2022-04-24 23:59:59",272,272
"2022-04-25 23:59:59",243,243
"2022-04-26 23:59:59",149,149
"2022-04-27 23:59:59",158,158
"2022-04-28 23:59:59",139,139
"2022-04-29 23:59:59",335,335
