"DateTime","Unique buyers","Unique buyers"
"2021-04-25 00:00:00",7,7
"2021-04-26 00:00:00",17,17
"2021-04-27 00:00:00",19,19
"2021-04-28 00:00:00",18,18
"2021-04-29 00:00:00",30,30
"2021-04-30 00:00:00",95,95
"2021-05-01 00:00:00",1477,1477
"2021-05-02 00:00:00",869,869
"2021-05-03 00:00:00",633,633
"2021-05-04 00:00:00",237,237
"2021-05-05 00:00:00",189,189
"2021-05-06 00:00:00",144,144
"2021-05-07 00:00:00",123,123
"2021-05-08 00:00:00",81,81
"2021-05-09 00:00:00",86,86
"2021-05-10 00:00:00",50,50
"2021-05-11 00:00:00",33,33
"2021-05-12 00:00:00",36,36
"2021-05-13 00:00:00",45,45
"2021-05-14 00:00:00",36,36
"2021-05-15 00:00:00",44,44
"2021-05-16 00:00:00",58,58
"2021-05-17 00:00:00",43,43
"2021-05-18 00:00:00",68,68
"2021-05-19 00:00:00",48,48
"2021-05-20 00:00:00",65,65
"2021-05-21 00:00:00",70,70
"2021-05-22 00:00:00",64,64
"2021-05-23 00:00:00",61,61
"2021-05-24 00:00:00",83,83
"2021-05-25 00:00:00",65,65
"2021-05-26 00:00:00",48,48
"2021-05-27 00:00:00",59,59
"2021-05-28 00:00:00",109,109
"2021-05-29 00:00:00",110,110
"2021-05-30 00:00:00",346,346
"2021-05-31 00:00:00",345,345
"2021-06-01 00:00:00",373,373
"2021-06-02 00:00:00",189,189
"2021-06-03 00:00:00",147,147
"2021-06-04 00:00:00",90,90
"2021-06-05 00:00:00",213,213
"2021-06-06 00:00:00",266,266
"2021-06-07 00:00:00",357,357
"2021-06-08 00:00:00",220,220
"2021-06-09 00:00:00",126,126
"2021-06-10 00:00:00",104,104
"2021-06-11 00:00:00",103,103
"2021-06-12 00:00:00",72,72
"2021-06-13 00:00:00",89,89
"2021-06-14 00:00:00",82,82
"2021-06-15 00:00:00",159,159
"2021-06-16 00:00:00",136,136
"2021-06-17 00:00:00",170,170
"2021-06-18 00:00:00",288,288
"2021-06-19 00:00:00",476,476
"2021-06-20 00:00:00",380,380
"2021-06-21 00:00:00",265,265
"2021-06-22 00:00:00",144,144
"2021-06-23 00:00:00",142,142
"2021-06-24 00:00:00",134,134
"2021-06-25 00:00:00",377,377
"2021-06-26 00:00:00",479,479
"2021-06-27 00:00:00",243,243
"2021-06-28 00:00:00",157,157
"2021-06-29 00:00:00",153,153
"2021-06-30 00:00:00",131,131
"2021-07-01 00:00:00",97,97
"2021-07-02 00:00:00",86,86
"2021-07-03 00:00:00",64,64
"2021-07-04 00:00:00",75,75
"2021-07-05 00:00:00",76,76
"2021-07-06 00:00:00",71,71
"2021-07-07 00:00:00",87,87
"2021-07-08 00:00:00",82,82
"2021-07-09 00:00:00",99,99
"2021-07-10 00:00:00",87,87
"2021-07-11 00:00:00",135,135
"2021-07-12 00:00:00",215,215
"2021-07-13 00:00:00",189,189
"2021-07-14 00:00:00",190,190
"2021-07-15 00:00:00",258,258
"2021-07-16 00:00:00",339,339
"2021-07-17 00:00:00",539,539
"2021-07-18 00:00:00",224,224
"2021-07-19 00:00:00",363,363
"2021-07-20 00:00:00",369,369
"2021-07-21 00:00:00",222,222
"2021-07-22 00:00:00",113,113
"2021-07-23 00:00:00",101,101
"2021-07-24 00:00:00",60,60
"2021-07-25 00:00:00",68,68
"2021-07-26 00:00:00",89,89
"2021-07-27 00:00:00",106,106
"2021-07-28 00:00:00",76,76
"2021-07-29 00:00:00",39,39
"2021-07-30 00:00:00",78,78
"2021-07-31 00:00:00",177,177
"2021-08-01 00:00:00",281,281
"2021-08-02 00:00:00",129,129
"2021-08-03 00:00:00",244,244
"2021-08-04 00:00:00",555,555
"2021-08-05 00:00:00",224,224
"2021-08-06 00:00:00",253,253
"2021-08-07 00:00:00",169,169
"2021-08-08 00:00:00",147,147
"2021-08-09 00:00:00",121,121
"2021-08-10 00:00:00",105,105
"2021-08-11 00:00:00",93,93
"2021-08-12 00:00:00",79,79
"2021-08-13 00:00:00",69,69
"2021-08-14 00:00:00",96,96
"2021-08-15 00:00:00",102,102
"2021-08-16 00:00:00",65,65
"2021-08-17 00:00:00",57,57
"2021-08-18 00:00:00",55,55
"2021-08-19 00:00:00",54,54
"2021-08-20 00:00:00",166,166
"2021-08-21 00:00:00",319,319
"2021-08-22 00:00:00",106,106
"2021-08-23 00:00:00",283,283
"2021-08-24 00:00:00",438,438
"2021-08-25 00:00:00",167,167
"2021-08-26 00:00:00",124,124
"2021-08-27 00:00:00",145,145
"2021-08-28 00:00:00",502,502
"2021-08-29 00:00:00",6536,6536
"2021-08-30 00:00:00",1056,1056
"2021-08-31 00:00:00",580,580
"2021-09-01 00:00:00",442,442
"2021-09-02 00:00:00",394,394
"2021-09-03 00:00:00",298,298
"2021-09-04 00:00:00",205,205
"2021-09-05 00:00:00",252,252
"2021-09-06 00:00:00",196,196
"2021-09-07 00:00:00",155,155
"2021-09-08 00:00:00",182,182
"2021-09-09 00:00:00",156,156
"2021-09-10 00:00:00",163,163
"2021-09-11 00:00:00",92,92
"2021-09-12 00:00:00",88,88
"2021-09-13 00:00:00",111,111
"2021-09-14 00:00:00",130,130
"2021-09-15 00:00:00",193,193
"2021-09-16 00:00:00",200,200
"2021-09-17 00:00:00",89,89
"2021-09-18 00:00:00",87,87
"2021-09-19 00:00:00",88,88
"2021-09-20 00:00:00",81,81
"2021-09-21 00:00:00",261,261
"2021-09-22 00:00:00",130,130
"2021-09-23 00:00:00",107,107
"2021-09-24 00:00:00",107,107
"2021-09-25 00:00:00",82,82
"2021-09-26 00:00:00",96,96
"2021-09-27 00:00:00",94,94
"2021-09-28 00:00:00",109,109
"2021-09-29 00:00:00",89,89
"2021-09-30 00:00:00",104,104
"2021-10-01 00:00:00",101,101
"2021-10-02 00:00:00",89,89
"2021-10-03 00:00:00",105,105
"2021-10-04 00:00:00",95,95
"2021-10-05 00:00:00",97,97
"2021-10-06 00:00:00",91,91
"2021-10-07 00:00:00",95,95
"2021-10-08 00:00:00",207,207
"2021-10-09 00:00:00",108,108
"2021-10-10 00:00:00",66,66
"2021-10-11 00:00:00",74,74
"2021-10-12 00:00:00",74,74
"2021-10-13 00:00:00",102,102
"2021-10-14 00:00:00",109,109
"2021-10-15 00:00:00",81,81
"2021-10-16 00:00:00",65,65
"2021-10-17 00:00:00",61,61
"2021-10-18 00:00:00",44,44
"2021-10-19 00:00:00",70,70
"2021-10-20 00:00:00",88,88
"2021-10-21 00:00:00",102,102
"2021-10-22 00:00:00",131,131
"2021-10-23 00:00:00",110,110
"2021-10-24 00:00:00",43,43
"2021-10-25 00:00:00",70,70
"2021-10-26 00:00:00",58,58
"2021-10-27 00:00:00",70,70
"2021-10-28 00:00:00",93,93
"2021-10-29 00:00:00",88,88
"2021-10-30 00:00:00",68,68
"2021-10-31 00:00:00",68,68
"2021-11-01 00:00:00",54,54
"2021-11-02 00:00:00",73,73
"2021-11-03 00:00:00",79,79
"2021-11-04 00:00:00",94,94
"2021-11-05 00:00:00",85,85
"2021-11-06 00:00:00",94,94
"2021-11-07 00:00:00",137,137
"2021-11-08 00:00:00",111,111
"2021-11-09 00:00:00",89,89
"2021-11-10 00:00:00",90,90
"2021-11-11 00:00:00",121,121
"2021-11-12 00:00:00",156,156
"2021-11-13 00:00:00",680,680
"2021-11-14 00:00:00",631,631
"2021-11-15 00:00:00",372,372
"2021-11-16 00:00:00",363,363
"2021-11-17 00:00:00",474,474
"2021-11-18 00:00:00",258,258
"2021-11-19 00:00:00",155,155
"2021-11-20 00:00:00",118,118
"2021-11-21 00:00:00",100,100
"2021-11-22 00:00:00",94,94
"2021-11-23 00:00:00",65,65
"2021-11-24 00:00:00",66,66
"2021-11-25 00:00:00",68,68
"2021-11-26 00:00:00",67,67
"2021-11-27 00:00:00",63,63
"2021-11-28 00:00:00",81,81
"2021-11-29 00:00:00",97,97
"2021-11-30 00:00:00",67,67
"2021-12-01 00:00:00",73,73
"2021-12-02 00:00:00",94,94
"2021-12-03 00:00:00",111,111
"2021-12-04 00:00:00",119,119
"2021-12-05 00:00:00",92,92
"2021-12-06 00:00:00",66,66
"2021-12-07 00:00:00",67,67
"2021-12-08 00:00:00",62,62
"2021-12-09 00:00:00",74,74
"2021-12-10 00:00:00",83,83
"2021-12-11 00:00:00",56,56
"2021-12-12 00:00:00",56,56
"2021-12-13 00:00:00",83,83
"2021-12-14 00:00:00",78,78
"2021-12-15 00:00:00",81,81
"2021-12-16 00:00:00",65,65
"2021-12-17 00:00:00",84,84
"2021-12-18 00:00:00",70,70
"2021-12-19 00:00:00",50,50
"2021-12-20 00:00:00",66,66
"2021-12-21 00:00:00",109,109
"2021-12-22 00:00:00",153,153
"2021-12-23 00:00:00",255,255
"2021-12-24 00:00:00",244,244
