"DateTime","Average USD","Average USD"
"2022-01-06 00:00:00",1444.91,1444.91
"2022-01-07 00:00:00",1473.57,1473.57
"2022-01-08 00:00:00",2349.86,2349.86
"2022-01-09 00:00:00",2916.78,2916.78
"2022-01-10 00:00:00",2663.81,2663.81
"2022-01-11 00:00:00",3462.57,3462.57
"2022-01-12 00:00:00",4099.64,4099.64
"2022-01-13 00:00:00",3432.97,3432.97
"2022-01-14 00:00:00",3310.53,3310.53
"2022-01-15 00:00:00",3747.09,3747.09
"2022-01-16 00:00:00",3405.01,3405.01
"2022-01-17 00:00:00",3149.15,3149.15
"2022-01-18 00:00:00",2851.3,2851.3
"2022-01-19 00:00:00",2543.64,2543.64
"2022-01-20 00:00:00",3488.47,3488.47
"2022-01-21 00:00:00",2606.39,2606.39
"2022-01-22 00:00:00",4355.51,4355.51
"2022-01-23 00:00:00",6885.4,6885.4
"2022-01-24 00:00:00",6044.12,6044.12
"2022-01-25 00:00:00",3922.19,3922.19
"2022-01-26 00:00:00",4212.84,4212.84
"2022-01-27 00:00:00",2266.68,2266.68
"2022-01-28 00:00:00",3377.6,3377.6
"2022-01-29 00:00:00",3986.09,3986.09
"2022-01-30 00:00:00",3690.97,3690.97
"2022-01-31 00:00:00",3452.12,3452.12
"2022-02-01 00:00:00",3950.82,3950.82
"2022-02-02 00:00:00",3603.59,3603.59
"2022-02-03 00:00:00",4561.49,4561.49
"2022-02-04 00:00:00",4015.29,4015.29
"2022-02-05 00:00:00",4499.06,4499.06
"2022-02-06 00:00:00",3851.39,3851.39
"2022-02-07 00:00:00",3479.5,3479.5
"2022-02-08 00:00:00",3135.1,3135.1
"2022-02-09 00:00:00",2667.84,2667.84
"2022-02-10 00:00:00",2875.89,2875.89
"2022-02-11 00:00:00",3517.17,3517.17
"2022-02-12 00:00:00",2837.01,2837.01
"2022-02-13 00:00:00",3377.53,3377.53
"2022-02-14 00:00:00",2699.64,2699.64
"2022-02-15 00:00:00",2833.65,2833.65
"2022-02-16 00:00:00",3264.64,3264.64
"2022-02-17 00:00:00",2768.62,2768.62
"2022-02-18 00:00:00",3576.72,3576.72
"2022-02-19 00:00:00",2549.72,2549.72
"2022-02-20 00:00:00",2167.73,2167.73
"2022-02-21 00:00:00",3067.52,3067.52
"2022-02-22 00:00:00",1593.08,1593.08
"2022-02-23 00:00:00",2071.34,2071.34
"2022-02-24 00:00:00",2110.37,2110.37
"2022-02-25 00:00:00",2173.78,2173.78
"2022-02-26 00:00:00",1585.79,1585.79
"2022-02-27 00:00:00",1954.67,1954.67
"2022-02-28 00:00:00",2493.72,2493.72
"2022-03-01 00:00:00",2594.52,2594.52
"2022-03-02 00:00:00",1838.58,1838.58
"2022-03-03 00:00:00",1289.38,1289.38
"2022-03-04 00:00:00",1606.7,1606.7
"2022-03-05 00:00:00",1659.93,1659.93
"2022-03-06 00:00:00",2285.76,2285.76
"2022-03-07 00:00:00",1354.8,1354.8
"2022-03-08 00:00:00",1657.56,1657.56
"2022-03-09 00:00:00",1714.5,1714.5
"2022-03-10 00:00:00",1565.7,1565.7
"2022-03-11 00:00:00",1261,1261
"2022-03-12 00:00:00",1748.02,1748.02
"2022-03-13 00:00:00",1303.65,1303.65
"2022-03-14 00:00:00",1836.35,1836.35
"2022-03-15 00:00:00",1802.69,1802.69
"2022-03-16 00:00:00",1280.05,1280.05
"2022-03-17 00:00:00",2465.2,2465.2
"2022-03-18 00:00:00",2670.8,2670.8
"2022-03-19 00:00:00",1576.66,1576.66
"2022-03-20 00:00:00",1932.86,1932.86
"2022-03-21 00:00:00",3281.84,3281.84
"2022-03-22 00:00:00",1647.44,1647.44
"2022-03-23 00:00:00",1799.51,1799.51
"2022-03-24 00:00:00",4761.36,4761.36
"2022-03-25 00:00:00",4263.81,4263.81
"2022-03-26 00:00:00",1819.6,1819.6
"2022-03-27 00:00:00",2459.35,2459.35
"2022-03-28 00:00:00",4382.29,4382.29
"2022-03-29 00:00:00",1298.93,1298.93
"2022-03-30 00:00:00",2756.17,2756.17
"2022-03-31 00:00:00",1666.37,1666.37
"2022-04-01 00:00:00",2117.59,2117.59
"2022-04-02 00:00:00",5688.04,5688.04
"2022-04-03 00:00:00",1953.04,1953.04
"2022-04-04 00:00:00",1480.92,1480.92
"2022-04-05 00:00:00",1876.16,1876.16
"2022-04-06 00:00:00",1624.23,1624.23
"2022-04-07 00:00:00",1964.83,1964.83
"2022-04-08 00:00:00",1180.82,1180.82
"2022-04-09 00:00:00",1231.67,1231.67
"2022-04-10 00:00:00",1688.48,1688.48
"2022-04-11 00:00:00",1509.55,1509.55
"2022-04-12 00:00:00",2669.17,2669.17
"2022-04-13 00:00:00",1031.21,1031.21
"2022-04-14 00:00:00",1617.06,1617.06
"2022-04-15 00:00:00",1699.27,1699.27
"2022-04-16 00:00:00",1426.78,1426.78
"2022-04-17 00:00:00",1260.32,1260.32
"2022-04-18 00:00:00",1411.28,1411.28
"2022-04-19 00:00:00",1520.03,1520.03
"2022-04-20 00:00:00",2307.08,2307.08
"2022-04-21 00:00:00",1624.86,1624.86
"2022-04-22 00:00:00",1579.71,1579.71
"2022-04-23 00:00:00",1089.67,1089.67
"2022-04-24 00:00:00",1193.03,1193.03
"2022-04-25 00:00:00",1118.17,1118.17
"2022-04-26 00:00:00",1772.33,1772.33
"2022-04-27 00:00:00",1023.67,1023.67
"2022-04-28 00:00:00",1628.36,1628.36
"2022-04-29 00:00:00",1391.96,1391.96
"2022-04-30 00:00:00",1353.84,1353.84
"2022-05-01 00:00:00",1242.07,1242.07
"2022-05-02 00:00:00",2254.15,2254.15
"2022-05-03 00:00:00",1482.52,1482.52
"2022-05-04 00:00:00",1077.81,1077.81
"2022-05-05 00:00:00",1254.83,1254.83
"2022-05-06 00:00:00",1020.21,1020.21
"2022-05-07 00:00:00",1651.45,1651.45
"2022-05-08 00:00:00",616.07,616.07
"2022-05-09 00:00:00",770.02,770.02
"2022-05-10 00:00:00",1028.23,1028.23
"2022-05-11 00:00:00",1566.59,1566.59
"2022-05-12 00:00:00",1160.42,1160.42
"2022-05-13 00:00:00",923,923
"2022-05-14 00:00:00",828.94,828.94
"2022-05-15 00:00:00",806.91,806.91
