"DateTime","Number of sales","Number of sales"
"2022-01-06 00:00:00",161,161
"2022-01-07 00:00:00",310,310
"2022-01-08 00:00:00",690,690
"2022-01-09 00:00:00",495,495
"2022-01-10 00:00:00",233,233
"2022-01-11 00:00:00",771,771
"2022-01-12 00:00:00",182,182
"2022-01-13 00:00:00",133,133
"2022-01-14 00:00:00",125,125
"2022-01-15 00:00:00",193,193
"2022-01-16 00:00:00",102,102
"2022-01-17 00:00:00",112,112
"2022-01-18 00:00:00",61,61
"2022-01-19 00:00:00",148,148
"2022-01-20 00:00:00",1052,1052
"2022-01-21 00:00:00",2570,2570
"2022-01-22 00:00:00",1193,1193
"2022-01-23 00:00:00",789,789
"2022-01-24 00:00:00",744,744
"2022-01-25 00:00:00",8715,8715
"2022-01-26 00:00:00",2863,2863
"2022-01-27 00:00:00",5626,5626
"2022-01-28 00:00:00",1697,1697
"2022-01-29 00:00:00",1047,1047
"2022-01-30 00:00:00",1156,1156
"2022-01-31 00:00:00",795,795
"2022-02-01 00:00:00",504,504
"2022-02-02 00:00:00",519,519
"2022-02-03 00:00:00",439,439
"2022-02-04 00:00:00",327,327
"2022-02-05 00:00:00",282,282
"2022-02-06 00:00:00",429,429
"2022-02-07 00:00:00",679,679
"2022-02-08 00:00:00",354,354
"2022-02-09 00:00:00",502,502
"2022-02-10 00:00:00",450,450
"2022-02-11 00:00:00",139,139
"2022-02-12 00:00:00",116,116
"2022-02-13 00:00:00",120,120
"2022-02-14 00:00:00",137,137
"2022-02-15 00:00:00",164,164
"2022-02-16 00:00:00",181,181
"2022-02-17 00:00:00",251,251
"2022-02-18 00:00:00",247,247
"2022-02-19 00:00:00",84,84
"2022-02-20 00:00:00",115,115
"2022-02-21 00:00:00",101,101
"2022-02-22 00:00:00",234,234
"2022-02-23 00:00:00",173,173
"2022-02-24 00:00:00",177,177
"2022-02-25 00:00:00",364,364
"2022-02-26 00:00:00",151,151
"2022-02-27 00:00:00",136,136
"2022-02-28 00:00:00",145,145
"2022-03-01 00:00:00",63,63
"2022-03-02 00:00:00",118,118
"2022-03-03 00:00:00",106,106
"2022-03-04 00:00:00",122,122
"2022-03-05 00:00:00",81,81
"2022-03-06 00:00:00",55,55
"2022-03-07 00:00:00",55,55
"2022-03-08 00:00:00",93,93
"2022-03-09 00:00:00",79,79
"2022-03-10 00:00:00",77,77
"2022-03-11 00:00:00",65,65
"2022-03-12 00:00:00",77,77
"2022-03-13 00:00:00",111,111
"2022-03-14 00:00:00",63,63
"2022-03-15 00:00:00",32,32
"2022-03-16 00:00:00",26,26
"2022-03-17 00:00:00",32,32
"2022-03-18 00:00:00",60,60
"2022-03-19 00:00:00",336,336
"2022-03-20 00:00:00",73,73
"2022-03-21 00:00:00",166,166
"2022-03-22 00:00:00",139,139
"2022-03-23 00:00:00",136,136
"2022-03-24 00:00:00",122,122
"2022-03-25 00:00:00",172,172
"2022-03-26 00:00:00",75,75
"2022-03-27 00:00:00",86,86
"2022-03-28 00:00:00",50,50
"2022-03-29 00:00:00",96,96
"2022-03-30 00:00:00",36,36
"2022-03-31 00:00:00",49,49
"2022-04-01 00:00:00",65,65
"2022-04-02 00:00:00",23,23
"2022-04-03 00:00:00",65,65
"2022-04-04 00:00:00",92,92
"2022-04-05 00:00:00",113,113
"2022-04-06 00:00:00",134,134
"2022-04-07 00:00:00",57,57
"2022-04-08 00:00:00",100,100
"2022-04-09 00:00:00",116,116
"2022-04-10 00:00:00",58,58
"2022-04-11 00:00:00",74,74
"2022-04-12 00:00:00",53,53
"2022-04-13 00:00:00",88,88
"2022-04-14 00:00:00",50,50
"2022-04-15 00:00:00",65,65
"2022-04-16 00:00:00",105,105
"2022-04-17 00:00:00",62,62
"2022-04-18 00:00:00",78,78
"2022-04-19 00:00:00",42,42
"2022-04-20 00:00:00",54,54
"2022-04-21 00:00:00",118,118
"2022-04-22 00:00:00",149,149
"2022-04-23 00:00:00",77,77
"2022-04-24 00:00:00",88,88
"2022-04-25 00:00:00",50,50
"2022-04-26 00:00:00",38,38
"2022-04-27 00:00:00",29,29
"2022-04-28 00:00:00",92,92
"2022-04-29 00:00:00",112,112
"2022-04-30 00:00:00",95,95
"2022-05-01 00:00:00",114,114
"2022-05-02 00:00:00",58,58
"2022-05-03 00:00:00",27,27
"2022-05-04 00:00:00",37,37
"2022-05-05 00:00:00",52,52
"2022-05-06 00:00:00",43,43
"2022-05-07 00:00:00",27,27
"2022-05-08 00:00:00",52,52
"2022-05-09 00:00:00",55,55
"2022-05-10 00:00:00",37,37
"2022-05-11 00:00:00",33,33
"2022-05-12 00:00:00",41,41
"2022-05-13 00:00:00",57,57
"2022-05-14 00:00:00",48,48
"2022-05-15 00:00:00",71,71
