"DateTime","Unique buyers","Unique buyers"
"2022-01-06 00:00:00",108,108
"2022-01-07 00:00:00",222,222
"2022-01-08 00:00:00",410,410
"2022-01-09 00:00:00",335,335
"2022-01-10 00:00:00",144,144
"2022-01-11 00:00:00",532,532
"2022-01-12 00:00:00",126,126
"2022-01-13 00:00:00",96,96
"2022-01-14 00:00:00",104,104
"2022-01-15 00:00:00",138,138
"2022-01-16 00:00:00",83,83
"2022-01-17 00:00:00",79,79
"2022-01-18 00:00:00",43,43
"2022-01-19 00:00:00",113,113
"2022-01-20 00:00:00",554,554
"2022-01-21 00:00:00",1054,1054
"2022-01-22 00:00:00",582,582
"2022-01-23 00:00:00",399,399
"2022-01-24 00:00:00",403,403
"2022-01-25 00:00:00",3106,3106
"2022-01-26 00:00:00",1198,1198
"2022-01-27 00:00:00",1930,1930
"2022-01-28 00:00:00",720,720
"2022-01-29 00:00:00",512,512
"2022-01-30 00:00:00",572,572
"2022-01-31 00:00:00",339,339
"2022-02-01 00:00:00",269,269
"2022-02-02 00:00:00",283,283
"2022-02-03 00:00:00",224,224
"2022-02-04 00:00:00",151,151
"2022-02-05 00:00:00",135,135
"2022-02-06 00:00:00",221,221
"2022-02-07 00:00:00",381,381
"2022-02-08 00:00:00",205,205
"2022-02-09 00:00:00",248,248
"2022-02-10 00:00:00",256,256
"2022-02-11 00:00:00",73,73
"2022-02-12 00:00:00",61,61
"2022-02-13 00:00:00",78,78
"2022-02-14 00:00:00",77,77
"2022-02-15 00:00:00",92,92
"2022-02-16 00:00:00",90,90
"2022-02-17 00:00:00",116,116
"2022-02-18 00:00:00",136,136
"2022-02-19 00:00:00",54,54
"2022-02-20 00:00:00",54,54
"2022-02-21 00:00:00",64,64
"2022-02-22 00:00:00",101,101
"2022-02-23 00:00:00",78,78
"2022-02-24 00:00:00",108,108
"2022-02-25 00:00:00",181,181
"2022-02-26 00:00:00",75,75
"2022-02-27 00:00:00",87,87
"2022-02-28 00:00:00",94,94
"2022-03-01 00:00:00",37,37
"2022-03-02 00:00:00",71,71
"2022-03-03 00:00:00",43,43
"2022-03-04 00:00:00",50,50
"2022-03-05 00:00:00",43,43
"2022-03-06 00:00:00",36,36
"2022-03-07 00:00:00",29,29
"2022-03-08 00:00:00",45,45
"2022-03-09 00:00:00",49,49
"2022-03-10 00:00:00",52,52
"2022-03-11 00:00:00",38,38
"2022-03-12 00:00:00",50,50
"2022-03-13 00:00:00",47,47
"2022-03-14 00:00:00",44,44
"2022-03-15 00:00:00",18,18
"2022-03-16 00:00:00",15,15
"2022-03-17 00:00:00",23,23
"2022-03-18 00:00:00",36,36
"2022-03-19 00:00:00",167,167
"2022-03-20 00:00:00",41,41
"2022-03-21 00:00:00",82,82
"2022-03-22 00:00:00",65,65
"2022-03-23 00:00:00",65,65
"2022-03-24 00:00:00",68,68
"2022-03-25 00:00:00",79,79
"2022-03-26 00:00:00",37,37
"2022-03-27 00:00:00",33,33
"2022-03-28 00:00:00",31,31
"2022-03-29 00:00:00",41,41
"2022-03-30 00:00:00",23,23
"2022-03-31 00:00:00",26,26
"2022-04-01 00:00:00",27,27
"2022-04-02 00:00:00",18,18
"2022-04-03 00:00:00",37,37
"2022-04-04 00:00:00",60,60
"2022-04-05 00:00:00",65,65
"2022-04-06 00:00:00",52,52
"2022-04-07 00:00:00",37,37
"2022-04-08 00:00:00",33,33
"2022-04-09 00:00:00",43,43
"2022-04-10 00:00:00",32,32
"2022-04-11 00:00:00",31,31
"2022-04-12 00:00:00",31,31
"2022-04-13 00:00:00",35,35
"2022-04-14 00:00:00",32,32
"2022-04-15 00:00:00",45,45
"2022-04-16 00:00:00",69,69
"2022-04-17 00:00:00",34,34
"2022-04-18 00:00:00",37,37
"2022-04-19 00:00:00",34,34
"2022-04-20 00:00:00",35,35
"2022-04-21 00:00:00",67,67
"2022-04-22 00:00:00",75,75
"2022-04-23 00:00:00",39,39
"2022-04-24 00:00:00",46,46
"2022-04-25 00:00:00",31,31
"2022-04-26 00:00:00",30,30
"2022-04-27 00:00:00",19,19
"2022-04-28 00:00:00",59,59
"2022-04-29 00:00:00",73,73
"2022-04-30 00:00:00",48,48
"2022-05-01 00:00:00",53,53
"2022-05-02 00:00:00",40,40
"2022-05-03 00:00:00",23,23
"2022-05-04 00:00:00",20,20
"2022-05-05 00:00:00",27,27
"2022-05-06 00:00:00",22,22
"2022-05-07 00:00:00",19,19
"2022-05-08 00:00:00",27,27
"2022-05-09 00:00:00",26,26
"2022-05-10 00:00:00",26,26
"2022-05-11 00:00:00",17,17
"2022-05-12 00:00:00",23,23
"2022-05-13 00:00:00",34,34
"2022-05-14 00:00:00",25,25
"2022-05-15 00:00:00",35,35
