"DateTime","Average USD","Average USD"
"2017-06-22 00:00:00",,
"2017-06-23 00:00:00",53.7,53.7
"2017-06-24 00:00:00",59.09,59.09
"2017-06-25 00:00:00",39.81,39.81
"2017-06-26 00:00:00",30.33,30.33
"2017-06-27 00:00:00",63.42,63.42
"2017-06-28 00:00:00",83.15,83.15
"2017-06-29 00:00:00",57.52,57.52
"2017-06-30 00:00:00",81.34,81.34
"2017-07-01 00:00:00",314.08,314.08
"2017-07-02 00:00:00",94.34,94.34
"2017-07-03 00:00:00",142.15,142.15
"2017-07-04 00:00:00",232.86,232.86
"2017-07-05 00:00:00",102.24,102.24
"2017-07-06 00:00:00",305.31,305.31
"2017-07-07 00:00:00",191.42,191.42
"2017-07-08 00:00:00",107.6,107.6
"2017-07-09 00:00:00",80.76,80.76
"2017-07-10 00:00:00",288.83,288.83
"2017-07-11 00:00:00",132.78,132.78
"2017-07-12 00:00:00",104.63,104.63
"2017-07-13 00:00:00",171,171
"2017-07-14 00:00:00",64.06,64.06
"2017-07-15 00:00:00",109.94,109.94
"2017-07-16 00:00:00",106.4,106.4
"2017-07-17 00:00:00",290.44,290.44
"2017-07-18 00:00:00",97.39,97.39
"2017-07-19 00:00:00",110.86,110.86
"2017-07-20 00:00:00",112.03,112.03
"2017-07-21 00:00:00",101.67,101.67
"2017-07-22 00:00:00",80.37,80.37
"2017-07-23 00:00:00",70.28,70.28
"2017-07-24 00:00:00",75.12,75.12
"2017-07-25 00:00:00",221.18,221.18
"2017-07-26 00:00:00",62.9,62.9
"2017-07-27 00:00:00",55.88,55.88
"2017-07-28 00:00:00",74.8,74.8
"2017-07-29 00:00:00",125.85,125.85
"2017-07-30 00:00:00",92.44,92.44
"2017-07-31 00:00:00",106.73,106.73
"2017-08-01 00:00:00",54.5,54.5
"2017-08-02 00:00:00",525.74,525.74
"2017-08-03 00:00:00",219.04,219.04
"2017-08-04 00:00:00",,
"2017-08-05 00:00:00",759.47,759.47
"2017-08-06 00:00:00",,
"2017-08-07 00:00:00",76.52,76.52
"2017-08-08 00:00:00",199.52,199.52
"2017-08-09 00:00:00",89.12,89.12
"2017-08-10 00:00:00",90.52,90.52
"2017-08-11 00:00:00",82.42,82.42
"2017-08-12 00:00:00",61.09,61.09
"2017-08-13 00:00:00",115.04,115.04
"2017-08-14 00:00:00",167.96,167.96
"2017-08-15 00:00:00",65.22,65.22
"2017-08-16 00:00:00",105.01,105.01
"2017-08-17 00:00:00",75.14,75.14
"2017-08-18 00:00:00",88.83,88.83
"2017-08-19 00:00:00",118.65,118.65
"2017-08-20 00:00:00",162.34,162.34
"2017-08-21 00:00:00",99.08,99.08
"2017-08-22 00:00:00",87.41,87.41
"2017-08-23 00:00:00",77.61,77.61
"2017-08-24 00:00:00",,
"2017-08-25 00:00:00",85.55,85.55
"2017-08-26 00:00:00",98.96,98.96
"2017-08-27 00:00:00",,
"2017-08-28 00:00:00",127.32,127.32
"2017-08-29 00:00:00",91.7,91.7
"2017-08-30 00:00:00",87.15,87.15
"2017-08-31 00:00:00",103.39,103.39
"2017-09-01 00:00:00",101.22,101.22
"2017-09-02 00:00:00",23.09,23.09
"2017-09-03 00:00:00",,
"2017-09-04 00:00:00",104.9,104.9
"2017-09-05 00:00:00",,
"2017-09-06 00:00:00",,
"2017-09-07 00:00:00",,
"2017-09-08 00:00:00",76.12,76.12
"2017-09-09 00:00:00",,
"2017-09-10 00:00:00",67.34,67.34
"2017-09-11 00:00:00",69.67,69.67
"2017-09-12 00:00:00",40.68,40.68
"2017-09-13 00:00:00",,
"2017-09-14 00:00:00",,
"2017-09-15 00:00:00",,
"2017-09-16 00:00:00",70.99,70.99
"2017-09-17 00:00:00",66.86,66.86
"2017-09-18 00:00:00",63.35,63.35
"2017-09-19 00:00:00",94.65,94.65
"2017-09-20 00:00:00",124.25,124.25
"2017-09-21 00:00:00",52.14,52.14
"2017-09-22 00:00:00",71.14,71.14
"2017-09-23 00:00:00",60.89,60.89
"2017-09-24 00:00:00",56.14,56.14
"2017-09-25 00:00:00",,
"2017-09-26 00:00:00",,
"2017-09-27 00:00:00",105.75,105.75
"2017-09-28 00:00:00",36.2,36.2
"2017-09-29 00:00:00",44.91,44.91
"2017-09-30 00:00:00",16.05,16.05
"2017-10-01 00:00:00",449.51,449.51
"2017-10-02 00:00:00",,
"2017-10-03 00:00:00",,
"2017-10-04 00:00:00",58.61,58.61
"2017-10-05 00:00:00",,
"2017-10-06 00:00:00",,
"2017-10-07 00:00:00",,
"2017-10-08 00:00:00",93.04,93.04
"2017-10-09 00:00:00",26.63,26.63
"2017-10-10 00:00:00",,
"2017-10-11 00:00:00",66.71,66.71
"2017-10-12 00:00:00",39.26,39.26
"2017-10-13 00:00:00",88.71,88.71
"2017-10-14 00:00:00",63.71,63.71
"2017-10-15 00:00:00",59.25,59.25
"2017-10-16 00:00:00",89.63,89.63
