"DateTime","Average USD","Average USD"
"2019-12-02 00:00:00",,
"2019-12-03 00:00:00",,
"2019-12-04 00:00:00",28.19,28.19
"2019-12-05 00:00:00",26.19,26.19
"2019-12-06 00:00:00",55.09,55.09
"2019-12-07 00:00:00",74.15,74.15
"2019-12-08 00:00:00",58.86,58.86
"2019-12-09 00:00:00",52.6,52.6
"2019-12-10 00:00:00",29.48,29.48
"2019-12-11 00:00:00",26.08,26.08
"2019-12-12 00:00:00",30.6,30.6
"2019-12-13 00:00:00",45.23,45.23
"2019-12-14 00:00:00",48.55,48.55
"2019-12-15 00:00:00",38.3,38.3
"2019-12-16 00:00:00",125.93,125.93
"2019-12-17 00:00:00",39.29,39.29
"2019-12-18 00:00:00",30.29,30.29
"2019-12-19 00:00:00",35.84,35.84
"2019-12-20 00:00:00",38.42,38.42
"2019-12-21 00:00:00",31.58,31.58
"2019-12-22 00:00:00",,
"2019-12-23 00:00:00",,
"2019-12-24 00:00:00",34.61,34.61
"2019-12-25 00:00:00",,
"2019-12-26 00:00:00",35.63,35.63
"2019-12-27 00:00:00",,
"2019-12-28 00:00:00",35.37,35.37
"2019-12-29 00:00:00",,
"2019-12-30 00:00:00",,
"2019-12-31 00:00:00",,
"2020-01-01 00:00:00",31,31
"2020-01-02 00:00:00",,
"2020-01-03 00:00:00",37.32,37.32
"2020-01-04 00:00:00",36.1,36.1
"2020-01-05 00:00:00",35.95,35.95
"2020-01-06 00:00:00",36.45,36.45
"2020-01-07 00:00:00",,
"2020-01-08 00:00:00",,
"2020-01-09 00:00:00",37.17,37.17
"2020-01-10 00:00:00",,
"2020-01-11 00:00:00",41.65,41.65
"2020-01-12 00:00:00",,
"2020-01-13 00:00:00",,
"2020-01-14 00:00:00",,
"2020-01-15 00:00:00",,
"2020-01-16 00:00:00",,
"2020-01-17 00:00:00",,
"2020-01-18 00:00:00",44.02,44.02
"2020-01-19 00:00:00",41.49,41.49
"2020-01-20 00:00:00",40.12,40.12
"2020-01-21 00:00:00",,
"2020-01-22 00:00:00",38.39,38.39
"2020-01-23 00:00:00",45.21,45.21
"2020-01-24 00:00:00",,
"2020-01-25 00:00:00",41.18,41.18
"2020-01-26 00:00:00",,
"2020-01-27 00:00:00",103.41,103.41
"2020-01-28 00:00:00",32.75,32.75
"2020-01-29 00:00:00",,
"2020-01-30 00:00:00",48.46,48.46
"2020-01-31 00:00:00",54.57,54.57
"2020-02-01 00:00:00",,
"2020-02-02 00:00:00",,
"2020-02-03 00:00:00",,
"2020-02-04 00:00:00",,
"2020-02-05 00:00:00",8.93,8.93
"2020-02-06 00:00:00",42.75,42.75
"2020-02-07 00:00:00",,
"2020-02-08 00:00:00",,
"2020-02-09 00:00:00",66.03,66.03
"2020-02-10 00:00:00",36.31,36.31
"2020-02-11 00:00:00",31.53,31.53
"2020-02-12 00:00:00",36.35,36.35
"2020-02-13 00:00:00",31.53,31.53
"2020-02-14 00:00:00",33.52,33.52
"2020-02-15 00:00:00",38,38
"2020-02-16 00:00:00",41.43,41.43
"2020-02-17 00:00:00",41.39,41.39
"2020-02-18 00:00:00",78.47,78.47
"2020-02-19 00:00:00",112.39,112.39
"2020-02-20 00:00:00",88.97,88.97
