"DateTime","Sales USD","Sales USD"
"2019-12-02 00:00:00",0,0
"2019-12-03 00:00:00",0,0
"2019-12-04 00:00:00",338.34,338.34
"2019-12-05 00:00:00",77827.27,77827.27
"2019-12-06 00:00:00",440.73,440.73
"2019-12-07 00:00:00",148.31,148.31
"2019-12-08 00:00:00",58.86,58.86
"2019-12-09 00:00:00",210.41,210.41
"2019-12-10 00:00:00",1208.83,1208.83
"2019-12-11 00:00:00",1877.57,1877.57
"2019-12-12 00:00:00",703.81,703.81
"2019-12-13 00:00:00",2668.48,2668.48
"2019-12-14 00:00:00",679.71,679.71
"2019-12-15 00:00:00",229.79,229.79
"2019-12-16 00:00:00",1385.23,1385.23
"2019-12-17 00:00:00",196.43,196.43
"2019-12-18 00:00:00",363.48,363.48
"2019-12-19 00:00:00",35.84,35.84
"2019-12-20 00:00:00",115.27,115.27
"2019-12-21 00:00:00",1073.62,1073.62
"2019-12-22 00:00:00",0,0
"2019-12-23 00:00:00",0,0
"2019-12-24 00:00:00",34.61,34.61
"2019-12-25 00:00:00",0,0
"2019-12-26 00:00:00",71.26,71.26
"2019-12-27 00:00:00",0,0
"2019-12-28 00:00:00",35.37,35.37
"2019-12-29 00:00:00",0,0
"2019-12-30 00:00:00",0,0
"2019-12-31 00:00:00",0,0
"2020-01-01 00:00:00",930.14,930.14
"2020-01-02 00:00:00",0,0
"2020-01-03 00:00:00",597.11,597.11
"2020-01-04 00:00:00",72.2,72.2
"2020-01-05 00:00:00",179.74,179.74
"2020-01-06 00:00:00",72.9,72.9
"2020-01-07 00:00:00",0,0
"2020-01-08 00:00:00",0,0
"2020-01-09 00:00:00",37.17,37.17
"2020-01-10 00:00:00",0,0
"2020-01-11 00:00:00",83.3,83.3
"2020-01-12 00:00:00",0,0
"2020-01-13 00:00:00",0,0
"2020-01-14 00:00:00",0,0
"2020-01-15 00:00:00",0,0
"2020-01-16 00:00:00",0,0
"2020-01-17 00:00:00",0,0
"2020-01-18 00:00:00",44.02,44.02
"2020-01-19 00:00:00",207.47,207.47
"2020-01-20 00:00:00",80.23,80.23
"2020-01-21 00:00:00",0,0
"2020-01-22 00:00:00",575.82,575.82
"2020-01-23 00:00:00",1039.91,1039.91
"2020-01-24 00:00:00",0,0
"2020-01-25 00:00:00",41.18,41.18
"2020-01-26 00:00:00",0,0
"2020-01-27 00:00:00",310.22,310.22
"2020-01-28 00:00:00",163.73,163.73
"2020-01-29 00:00:00",0,0
"2020-01-30 00:00:00",48.46,48.46
"2020-01-31 00:00:00",218.29,218.29
"2020-02-01 00:00:00",0,0
"2020-02-02 00:00:00",0,0
"2020-02-03 00:00:00",0,0
"2020-02-04 00:00:00",0,0
"2020-02-05 00:00:00",44.65,44.65
"2020-02-06 00:00:00",641.26,641.26
"2020-02-07 00:00:00",0,0
"2020-02-08 00:00:00",0,0
"2020-02-09 00:00:00",660.34,660.34
"2020-02-10 00:00:00",3993.93,3993.93
"2020-02-11 00:00:00",172684.25,172684.25
"2020-02-12 00:00:00",14648.63,14648.63
"2020-02-13 00:00:00",13683.53,13683.53
"2020-02-14 00:00:00",3854.32,3854.32
"2020-02-15 00:00:00",2812.04,2812.04
"2020-02-16 00:00:00",1698.73,1698.73
"2020-02-17 00:00:00",4345.96,4345.96
"2020-02-18 00:00:00",14517.26,14517.26
"2020-02-19 00:00:00",14611.03,14611.03
"2020-02-20 00:00:00",3469.93,3469.93
"2020-02-21 00:00:00",714.71,714.71
"2020-02-22 00:00:00",3592.85,3592.85
"2020-02-23 00:00:00",2460.52,2460.52
"2020-02-24 00:00:00",3987.61,3987.61
"2020-02-25 00:00:00",1655.15,1655.15
"2020-02-26 00:00:00",1602.74,1602.74
"2020-02-27 00:00:00",211.66,211.66
"2020-02-28 00:00:00",2108.07,2108.07
"2020-02-29 00:00:00",1601.3,1601.3
"2020-03-01 00:00:00",0,0
"2020-03-02 00:00:00",814.25,814.25
"2020-03-03 00:00:00",314.96,314.96
"2020-03-04 00:00:00",2364.11,2364.11
"2020-03-05 00:00:00",198.34,198.34
"2020-03-06 00:00:00",460.6,460.6
"2020-03-07 00:00:00",1087.66,1087.66
"2020-03-08 00:00:00",418.98,418.98
"2020-03-09 00:00:00",98.44,98.44
"2020-03-10 00:00:00",100.29,100.29
"2020-03-11 00:00:00",719.26,719.26
"2020-03-12 00:00:00",1234.86,1234.86
"2020-03-13 00:00:00",891.55,891.55
"2020-03-14 00:00:00",718.35,718.35
"2020-03-15 00:00:00",2041.18,2041.18
"2020-03-16 00:00:00",625.24,625.24
"2020-03-17 00:00:00",1375.45,1375.45
"2020-03-18 00:00:00",654.91,654.91
"2020-03-19 00:00:00",0,0
"2020-03-20 00:00:00",79.86,79.86
"2020-03-21 00:00:00",670.22,670.22
"2020-03-22 00:00:00",621.62,621.62
"2020-03-23 00:00:00",0,0
"2020-03-24 00:00:00",366.46,366.46
"2020-03-25 00:00:00",0,0
"2020-03-26 00:00:00",952.88,952.88
"2020-03-27 00:00:00",400.57,400.57
"2020-03-28 00:00:00",809.68,809.68
"2020-03-29 00:00:00",0,0
"2020-03-30 00:00:00",60.14,60.14
"2020-03-31 00:00:00",441624.68,441624.68
"2020-04-01 00:00:00",15199.58,15199.58
"2020-04-02 00:00:00",2378.17,2378.17
"2020-04-03 00:00:00",826.97,826.97
"2020-04-04 00:00:00",260.1,260.1
"2020-04-05 00:00:00",2716.11,2716.11
"2020-04-06 00:00:00",228.87,228.87
"2020-04-07 00:00:00",514.44,514.44
"2020-04-08 00:00:00",828.69,828.69
"2020-04-09 00:00:00",106.88,106.88
"2020-04-10 00:00:00",637.45,637.45
"2020-04-11 00:00:00",1737.07,1737.07
"2020-04-12 00:00:00",1047.89,1047.89
"2020-04-13 00:00:00",46.15,46.15
"2020-04-14 00:00:00",0,0
"2020-04-15 00:00:00",48.91,48.91
"2020-04-16 00:00:00",590.56,590.56
"2020-04-17 00:00:00",2614.83,2614.83
"2020-04-18 00:00:00",549.52,549.52
"2020-04-19 00:00:00",871.42,871.42
"2020-04-20 00:00:00",1180.16,1180.16
"2020-04-21 00:00:00",1279.33,1279.33
"2020-04-22 00:00:00",58.02,58.02
"2020-04-23 00:00:00",1528.17,1528.17
"2020-04-24 00:00:00",1709.49,1709.49
"2020-04-25 00:00:00",285.01,285.01
"2020-04-26 00:00:00",2223.76,2223.76
"2020-04-27 00:00:00",0,0
"2020-04-28 00:00:00",2721.23,2721.23
"2020-04-29 00:00:00",121.7,121.7
"2020-04-30 00:00:00",0,0
"2020-05-01 00:00:00",1387.07,1387.07
"2020-05-02 00:00:00",132.14,132.14
"2020-05-03 00:00:00",5450.33,5450.33
"2020-05-04 00:00:00",868.91,868.91
"2020-05-05 00:00:00",1164.82,1164.82
"2020-05-06 00:00:00",1866.29,1866.29
"2020-05-07 00:00:00",188.31,188.31
"2020-05-08 00:00:00",171.44,171.44
