"DateTime","Unique buyers","Unique buyers"
"2019-12-02 00:00:00",0,0
"2019-12-03 00:00:00",0,0
"2019-12-04 00:00:00",4,4
"2019-12-05 00:00:00",168,168
"2019-12-06 00:00:00",7,7
"2019-12-07 00:00:00",2,2
"2019-12-08 00:00:00",1,1
"2019-12-09 00:00:00",1,1
"2019-12-10 00:00:00",4,4
"2019-12-11 00:00:00",2,2
"2019-12-12 00:00:00",4,4
"2019-12-13 00:00:00",3,3
"2019-12-14 00:00:00",2,2
"2019-12-15 00:00:00",2,2
"2019-12-16 00:00:00",2,2
"2019-12-17 00:00:00",4,4
"2019-12-18 00:00:00",4,4
"2019-12-19 00:00:00",1,1
"2019-12-20 00:00:00",2,2
"2019-12-21 00:00:00",3,3
"2019-12-22 00:00:00",0,0
"2019-12-23 00:00:00",0,0
"2019-12-24 00:00:00",1,1
"2019-12-25 00:00:00",0,0
"2019-12-26 00:00:00",1,1
"2019-12-27 00:00:00",0,0
"2019-12-28 00:00:00",1,1
"2019-12-29 00:00:00",0,0
"2019-12-30 00:00:00",0,0
"2019-12-31 00:00:00",0,0
"2020-01-01 00:00:00",1,1
"2020-01-02 00:00:00",0,0
"2020-01-03 00:00:00",1,1
"2020-01-04 00:00:00",1,1
"2020-01-05 00:00:00",1,1
"2020-01-06 00:00:00",1,1
"2020-01-07 00:00:00",0,0
"2020-01-08 00:00:00",0,0
"2020-01-09 00:00:00",1,1
"2020-01-10 00:00:00",0,0
"2020-01-11 00:00:00",2,2
"2020-01-12 00:00:00",0,0
"2020-01-13 00:00:00",0,0
"2020-01-14 00:00:00",0,0
"2020-01-15 00:00:00",0,0
"2020-01-16 00:00:00",0,0
"2020-01-17 00:00:00",0,0
"2020-01-18 00:00:00",1,1
"2020-01-19 00:00:00",2,2
"2020-01-20 00:00:00",1,1
"2020-01-21 00:00:00",0,0
"2020-01-22 00:00:00",3,3
"2020-01-23 00:00:00",3,3
"2020-01-24 00:00:00",0,0
"2020-01-25 00:00:00",1,1
"2020-01-26 00:00:00",0,0
"2020-01-27 00:00:00",1,1
"2020-01-28 00:00:00",2,2
"2020-01-29 00:00:00",0,0
"2020-01-30 00:00:00",1,1
"2020-01-31 00:00:00",4,4
"2020-02-01 00:00:00",0,0
"2020-02-02 00:00:00",0,0
"2020-02-03 00:00:00",0,0
"2020-02-04 00:00:00",0,0
"2020-02-05 00:00:00",4,4
"2020-02-06 00:00:00",1,1
"2020-02-07 00:00:00",0,0
"2020-02-08 00:00:00",0,0
"2020-02-09 00:00:00",3,3
"2020-02-10 00:00:00",6,6
"2020-02-11 00:00:00",296,296
"2020-02-12 00:00:00",68,68
"2020-02-13 00:00:00",56,56
"2020-02-14 00:00:00",29,29
"2020-02-15 00:00:00",25,25
"2020-02-16 00:00:00",8,8
"2020-02-17 00:00:00",12,12
"2020-02-18 00:00:00",13,13
"2020-02-19 00:00:00",9,9
"2020-02-20 00:00:00",5,5
"2020-02-21 00:00:00",6,6
"2020-02-22 00:00:00",8,8
"2020-02-23 00:00:00",8,8
"2020-02-24 00:00:00",7,7
"2020-02-25 00:00:00",6,6
"2020-02-26 00:00:00",7,7
"2020-02-27 00:00:00",3,3
"2020-02-28 00:00:00",3,3
"2020-02-29 00:00:00",3,3
"2020-03-01 00:00:00",0,0
"2020-03-02 00:00:00",4,4
"2020-03-03 00:00:00",3,3
"2020-03-04 00:00:00",2,2
"2020-03-05 00:00:00",2,2
"2020-03-06 00:00:00",2,2
"2020-03-07 00:00:00",3,3
"2020-03-08 00:00:00",3,3
"2020-03-09 00:00:00",2,2
"2020-03-10 00:00:00",1,1
"2020-03-11 00:00:00",7,7
"2020-03-12 00:00:00",7,7
"2020-03-13 00:00:00",5,5
"2020-03-14 00:00:00",3,3
"2020-03-15 00:00:00",4,4
"2020-03-16 00:00:00",3,3
"2020-03-17 00:00:00",3,3
"2020-03-18 00:00:00",4,4
"2020-03-19 00:00:00",0,0
"2020-03-20 00:00:00",2,2
"2020-03-21 00:00:00",5,5
"2020-03-22 00:00:00",4,4
"2020-03-23 00:00:00",0,0
"2020-03-24 00:00:00",1,1
"2020-03-25 00:00:00",0,0
"2020-03-26 00:00:00",5,5
"2020-03-27 00:00:00",3,3
"2020-03-28 00:00:00",3,3
"2020-03-29 00:00:00",0,0
"2020-03-30 00:00:00",1,1
"2020-03-31 00:00:00",638,638
"2020-04-01 00:00:00",102,102
"2020-04-02 00:00:00",7,7
"2020-04-03 00:00:00",7,7
"2020-04-04 00:00:00",5,5
"2020-04-05 00:00:00",6,6
"2020-04-06 00:00:00",4,4
"2020-04-07 00:00:00",2,2
"2020-04-08 00:00:00",5,5
"2020-04-09 00:00:00",2,2
"2020-04-10 00:00:00",5,5
"2020-04-11 00:00:00",4,4
"2020-04-12 00:00:00",2,2
"2020-04-13 00:00:00",1,1
"2020-04-14 00:00:00",0,0
"2020-04-15 00:00:00",1,1
"2020-04-16 00:00:00",1,1
"2020-04-17 00:00:00",4,4
"2020-04-18 00:00:00",3,3
"2020-04-19 00:00:00",4,4
"2020-04-20 00:00:00",5,5
"2020-04-21 00:00:00",6,6
"2020-04-22 00:00:00",1,1
"2020-04-23 00:00:00",3,3
"2020-04-24 00:00:00",4,4
"2020-04-25 00:00:00",4,4
"2020-04-26 00:00:00",1,1
"2020-04-27 00:00:00",0,0
"2020-04-28 00:00:00",3,3
"2020-04-29 00:00:00",2,2
"2020-04-30 00:00:00",0,0
"2020-05-01 00:00:00",5,5
"2020-05-02 00:00:00",2,2
"2020-05-03 00:00:00",10,10
"2020-05-04 00:00:00",3,3
"2020-05-05 00:00:00",4,4
"2020-05-06 00:00:00",2,2
"2020-05-07 00:00:00",2,2
"2020-05-08 00:00:00",1,1
"2020-05-09 00:00:00",2,2
"2020-05-10 00:00:00",2,2
"2020-05-11 00:00:00",1,1
"2020-05-12 00:00:00",1,1
"2020-05-13 00:00:00",2,2
"2020-05-14 00:00:00",1,1
"2020-05-15 00:00:00",4,4
"2020-05-16 00:00:00",2,2
"2020-05-17 00:00:00",3,3
"2020-05-18 00:00:00",2,2
"2020-05-19 00:00:00",5,5
"2020-05-20 00:00:00",2,2
"2020-05-21 00:00:00",5,5
"2020-05-22 00:00:00",7,7
"2020-05-23 00:00:00",5,5
"2020-05-24 00:00:00",4,4
"2020-05-25 00:00:00",6,6
"2020-05-26 00:00:00",9,9
"2020-05-27 00:00:00",1,1
"2020-05-28 00:00:00",5,5
"2020-05-29 00:00:00",4,4
"2020-05-30 00:00:00",3,3
"2020-05-31 00:00:00",0,0
"2020-06-01 00:00:00",0,0
"2020-06-02 00:00:00",3,3
"2020-06-03 00:00:00",3,3
"2020-06-04 00:00:00",153,153
"2020-06-05 00:00:00",12,12
"2020-06-06 00:00:00",1,1
"2020-06-07 00:00:00",5,5
"2020-06-08 00:00:00",5,5
"2020-06-09 00:00:00",4,4
"2020-06-10 00:00:00",6,6
