DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2020-11-27,1577.0,32.21,50793.59,111.0,110.0
2020-11-28,923.0,23.8,21966.6,184.0,180.0
2020-11-29,324.0,25.57,8285.57,74.0,72.0
2020-11-30,63.0,39.63,2496.48,22.0,17.0
2020-12-01,80.0,26.13,2090.09,20.0,17.0
2020-12-02,251.0,22.74,5707.13,33.0,27.0
2020-12-03,220.0,22.21,4885.18,27.0,22.0
2020-12-04,358.0,23.81,8525.22,36.0,31.0
2020-12-05,312.0,20.19,6297.88,26.0,24.0
2020-12-06,157.0,19.1,2998.9,20.0,19.0
2020-12-07,131.0,20.96,2745.26,23.0,21.0
2020-12-08,53.0,18.34,971.82,15.0,13.0
2020-12-09,120.0,22.07,2647.83,25.0,21.0
2020-12-10,233.0,18.46,4300.51,32.0,29.0
2020-12-11,90.0,19.02,1711.63,19.0,16.0
2020-12-12,831.0,26.98,22420.2,97.0,93.0
2020-12-13,149.0,43.04,6412.59,47.0,38.0
2020-12-14,90.0,23.26,2093.53,22.0,16.0
2020-12-15,84.0,27.84,2338.8,28.0,22.0
2020-12-16,32.0,27.82,890.33,16.0,11.0
2020-12-17,12.0,37.29,447.5,9.0,6.0
2020-12-18,93.0,46.95,4366.66,31.0,28.0
2020-12-19,82.0,31.91,2616.31,24.0,16.0
2020-12-20,128.0,33.33,4266.51,19.0,14.0
2020-12-21,208.0,60.4,12563.24,51.0,48.0
2020-12-22,109.0,22.63,2466.62,12.0,8.0
2020-12-23,65.0,16.1,1046.3,63.0,56.0
2020-12-24,139.0,24.11,3351.48,24.0,15.0
2020-12-25,56.0,20.4,1142.35,16.0,10.0
2020-12-26,211.0,21.85,4609.8,25.0,20.0
2020-12-27,465.0,27.41,12745.82,33.0,23.0
2020-12-28,32.0,30.93,989.8,17.0,10.0
2020-12-29,33.0,26.2,864.49,19.0,14.0
2020-12-30,9.0,100.3,902.73,14.0,7.0
2020-12-31,44.0,64.08,2819.7,22.0,16.0
2021-01-01,1127.0,80.87,91139.68,140.0,134.0
2021-01-02,201.0,94.98,19090.64,54.0,39.0
2021-01-03,58.0,523.61,30369.26,37.0,20.0
2021-01-04,9.0,843.98,7595.84,14.0,9.0
2021-01-05,23.0,364.65,8386.93,21.0,12.0
2021-01-06,16.0,109.19,1747.08,18.0,11.0
2021-01-07,5.0,457.72,2288.62,10.0,5.0
2021-01-08,608.0,274.96,167176.82,142.0,133.0
2021-01-09,97.0,349.8,33930.32,58.0,36.0
2021-01-10,147.0,341.68,50226.9,61.0,39.0
2021-01-11,15.0,66.88,1003.24,17.0,12.0
2021-01-12,131.0,127.26,16671.48,63.0,43.0
2021-01-13,343.0,83.55,28658.25,66.0,46.0
2021-01-14,287.0,60.38,17327.91,41.0,29.0
2021-01-15,760.0,45.98,34947.93,48.0,37.0
2021-01-16,1858.0,84.3,156621.23,212.0,195.0
2021-01-17,74.0,438.54,32452.31,64.0,37.0
2021-01-18,120.0,369.2,44303.56,73.0,42.0
2021-01-19,37.0,560.37,20733.6,35.0,18.0
2021-01-20,250.0,55.56,13889.29,36.0,20.0
2021-01-21,459.0,130.79,60030.62,115.0,108.0
2021-01-22,55.0,191.7,10543.3,27.0,15.0
2021-01-23,65.0,69.09,4490.69,28.0,15.0
2021-01-24,28.0,153.62,4301.38,29.0,16.0
2021-01-25,35.0,317.8,11123.06,33.0,17.0
2021-01-26,462.0,180.8,83530.92,124.0,118.0
2021-01-27,40.0,526.27,21050.99,47.0,24.0
2021-01-28,19.0,465.48,8844.16,22.0,13.0
2021-01-29,22.0,378.51,8327.13,27.0,9.0
2021-01-30,10.0,215.16,2151.56,14.0,8.0
2021-01-31,1086.0,167.92,182358.55,212.0,203.0
2021-02-01,79.0,875.12,69134.61,70.0,27.0
2021-02-02,64.0,1378.72,88238.08,56.0,21.0
2021-02-03,27.0,498.29,13453.79,36.0,20.0
2021-02-04,43.0,519.04,22318.78,49.0,23.0
2021-02-05,18.0,455.62,8201.21,29.0,14.0
2021-02-06,7.0,5539.29,38775.01,13.0,7.0
2021-02-07,506.0,384.59,194601.27,140.0,125.0
2021-02-08,240.0,303.67,72881.06,104.0,78.0
2021-02-09,92.0,672.47,61867.18,59.0,31.0
2021-02-10,66.0,745.71,49216.54,62.0,28.0
2021-02-11,79.0,314.0,24806.33,55.0,36.0
2021-02-12,46.0,377.96,17386.16,45.0,28.0
2021-02-13,523.0,319.96,167338.56,183.0,170.0
2021-02-14,178.0,945.32,168266.22,119.0,64.0
2021-02-15,485.0,470.62,228249.36,173.0,125.0
2021-02-16,353.0,522.67,184504.1,171.0,118.0
2021-02-17,360.0,383.45,138043.42,151.0,84.0
2021-02-18,166.0,537.92,89294.81,109.0,70.0
2021-02-19,988.0,413.18,408223.14,307.0,269.0
2021-02-20,450.0,851.44,383145.77,204.0,131.0
2021-02-21,1401.0,428.26,599991.55,353.0,263.0
2021-02-22,417.0,1846.38,769939.75,260.0,176.0
2021-02-23,880.0,733.88,645817.48,300.0,186.0
2021-02-24,670.0,1474.64,988005.92,355.0,221.0
2021-02-25,136.0,1619.4,220239.07,131.0,67.0
2021-02-26,145.0,1812.42,262801.13,125.0,63.0
2021-02-27,790.0,1154.98,912437.53,406.0,364.0
2021-02-28,715.0,1173.65,839158.13,353.0,309.0
2021-03-01,532.0,1194.0,635208.17,382.0,332.0
2021-03-02,1224.0,407.28,498506.97,559.0,520.0
2021-03-03,198.0,1833.95,363121.86,203.0,99.0
2021-03-04,125.0,3264.57,408071.47,157.0,85.0
2021-03-05,893.0,594.62,530997.81,695.0,666.0
2021-03-06,155.0,2384.24,369557.13,215.0,114.0
2021-03-07,68.0,2029.89,138032.2,98.0,48.0
2021-03-08,93.0,1755.87,163296.18,118.0,55.0
2021-03-09,84.0,2166.18,181958.86,83.0,43.0
2021-03-10,66.0,2556.0,168695.94,83.0,38.0
2021-03-11,88.0,2545.2,223977.58,102.0,44.0
2021-03-12,83.0,2189.32,181713.9,98.0,44.0
2021-03-13,41.0,2383.81,97736.13,57.0,28.0
2021-03-14,45.0,5282.32,237704.25,54.0,25.0
2021-03-15,47.0,1180.58,55487.07,67.0,33.0
2021-03-16,51.0,1750.35,89267.84,65.0,31.0
2021-03-17,1656.0,272.0,450432.43,1528.0,1511.0
2021-03-18,322.0,1762.88,567646.37,324.0,130.0
2021-03-19,113.0,1524.24,172238.97,151.0,66.0
2021-03-20,1200.0,327.91,393496.31,1036.0,1015.0
2021-03-21,459.0,736.48,338045.71,360.0,281.0
2021-03-22,541.0,604.76,327174.98,332.0,293.0
2021-03-23,198.0,558.45,110573.72,148.0,107.0
2021-03-24,111.0,1035.2,114907.2,97.0,56.0
2021-03-25,87.0,1137.96,99002.24,77.0,45.0
2021-03-26,88.0,768.77,67651.95,74.0,46.0
2021-03-27,85.0,636.57,54108.06,82.0,48.0
2021-03-28,850.0,273.43,232417.97,478.0,432.0
2021-03-29,511.0,420.72,214988.72,293.0,250.0
2021-03-30,188.0,497.17,93467.36,158.0,109.0
2021-03-31,292.0,527.49,154027.72,228.0,184.0
2021-04-01,196.0,579.31,113545.09,165.0,93.0
2021-04-02,261.0,818.4,213602.83,200.0,128.0
2021-04-03,163.0,1213.97,197877.74,124.0,75.0
2021-04-04,193.0,615.23,118739.39,143.0,74.0
2021-04-05,528.0,361.3,190767.22,442.0,405.0
2021-04-06,305.0,1097.59,334766.39,224.0,179.0
2021-04-07,572.0,471.38,269630.51,208.5,284.0
2021-04-08,255.0,776.69,198056.95,193.0,128.0
2021-04-09,232.0,1380.13,320189.82,192.0,117.0
2021-04-10,791.0,700.3,553938.38,621.0,563.0
2021-04-11,474.0,991.75,470087.76,355.0,231.0
2021-04-12,213.0,1010.83,215306.23,205.0,122.0
2021-04-13,345.0,862.69,297626.46,209.0,136.0
2021-04-14,528.0,539.97,285103.76,297.0,238.0
2021-04-15,108.0,1696.86,183260.43,117.0,64.0
2021-04-16,729.0,468.35,341426.34,505.0,476.0
2021-04-17,86.0,1209.39,104007.86,99.0,54.0
2021-04-18,65.0,1087.7,70700.73,75.0,39.0
2021-04-19,77.0,669.11,51521.38,74.0,37.0
2021-04-20,45.0,528.24,23770.87,62.0,37.0
2021-04-21,82.0,1162.22,95302.33,93.0,50.0
2021-04-22,48.0,1882.88,90378.39,66.0,33.0
2021-04-23,878.0,699.26,613950.81,565.0,550.0
2021-04-24,299.0,583.05,174332.22,176.0,117.0
2021-04-25,159.0,980.72,155934.25,118.0,71.0
2021-04-26,395.0,577.47,228101.3,226.0,168.0
2021-04-27,134.0,1661.79,222679.52,134.0,74.0
2021-04-28,85.0,991.41,84269.72,97.0,49.0
2021-04-29,153.0,439.15,67190.5,113.0,73.0
2021-04-30,814.0,489.09,398116.16,657.0,628.0
2021-05-01,460.0,561.76,258408.68,291.0,211.0
2021-05-02,133.0,871.03,115847.32,139.0,69.0
2021-05-03,85.0,1524.7,129599.1,107.0,50.0
2021-05-04,171.0,450.22,76987.55,128.0,98.0
2021-05-05,101.0,412.86,41698.72,97.0,66.0
2021-05-06,65.0,1271.99,82679.29,83.0,48.0
2021-05-07,478.0,726.35,347194.47,391.0,357.0
2021-05-08,97.0,659.3,63951.71,98.0,61.0
2021-05-09,90.0,819.34,73740.75,81.0,65.0
2021-05-10,21.0,4702.67,98756.08,35.0,20.0
2021-05-11,6.0,4994.22,29965.31,12.0,6.0
2021-05-12,12.0,14890.08,178680.97,20.0,11.0
2021-05-13,39.0,1016.06,39626.23,47.0,20.0
2021-05-14,1115.0,559.35,623674.66,726.0,702.0
2021-05-15,171.0,1017.61,174010.86,159.0,85.0
2021-05-16,65.0,1607.97,104517.83,77.0,31.0
2021-05-17,99.0,1367.79,135410.96,118.0,57.0
2021-05-18,174.0,1028.04,178879.3,191.0,103.0
2021-05-19,110.0,1046.83,115150.91,112.0,51.0
2021-05-20,110.0,766.25,84287.27,117.0,63.0
2021-05-21,343.0,595.87,204384.25,262.0,205.0
2021-05-22,296.0,332.74,98490.75,173.0,136.0
2021-05-23,77.0,824.09,63454.95,83.0,51.0
2021-05-24,151.0,375.08,56636.51,127.0,72.0
2021-05-25,176.0,855.12,150501.27,139.0,74.0
2021-05-26,48.0,674.58,32379.83,62.0,35.0
2021-05-27,68.0,451.36,30692.71,84.0,42.0
2021-05-28,571.0,281.63,160811.8,406.0,371.0
2021-05-29,688.0,225.55,155175.7,312.0,282.0
2021-05-30,73.0,461.65,33700.15,95.0,47.0
