DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2018-02-15,0.0,0.0,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0,0.0,0.0
2018-02-17,0.0,0.0,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0,0.0,0.0
2018-02-19,0.0,0.0,0.0,0.0,0.0
2018-02-20,0.0,0.0,0.0,0.0,0.0
2018-02-21,0.0,0.0,0.0,0.0,0.0
2018-02-22,0.0,0.0,0.0,0.0,0.0
2018-02-23,0.0,0.0,0.0,0.0,0.0
2018-02-24,0.0,0.0,0.0,0.0,0.0
2018-02-25,0.0,0.0,0.0,0.0,0.0
2018-02-26,0.0,0.0,0.0,0.0,0.0
2018-02-27,0.0,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0
2018-03-02,0.0,0.0,0.0,0.0,0.0
2018-03-03,0.0,0.0,0.0,0.0,0.0
2018-03-04,0.0,0.0,0.0,0.0,0.0
2018-03-05,0.0,0.0,0.0,0.0,0.0
2018-03-06,0.0,0.0,0.0,0.0,0.0
2018-03-07,0.0,0.0,0.0,0.0,0.0
2018-03-08,0.0,0.0,0.0,0.0,0.0
2018-03-09,0.0,0.0,0.0,0.0,0.0
2018-03-10,0.0,0.0,0.0,0.0,0.0
2018-03-11,0.0,0.0,0.0,0.0,0.0
2018-03-12,0.0,0.0,0.0,0.0,0.0
2018-03-13,0.0,0.0,0.0,0.0,0.0
2018-03-14,0.0,0.0,0.0,0.0,0.0
2018-03-15,0.0,0.0,0.0,0.0,0.0
2018-03-16,0.0,0.0,0.0,0.0,0.0
2018-03-17,0.0,0.0,0.0,0.0,0.0
2018-03-18,0.0,0.0,0.0,0.0,0.0
2018-03-19,0.0,0.0,0.0,0.0,0.0
2018-03-20,0.0,0.0,0.0,0.0,0.0
2018-03-21,0.0,0.0,0.0,0.0,0.0
2018-03-22,0.0,0.0,0.0,0.0,0.0
2018-03-23,0.0,0.0,0.0,0.0,0.0
2018-03-24,0.0,0.0,0.0,0.0,0.0
2018-03-25,10.0,197.1,1971.05,10.0,7.0
2018-03-26,12.0,294.65,3535.78,14.0,8.0
2018-03-27,13.0,143.17,1861.22,17.0,9.0
2018-03-28,5.0,307.04,1535.19,7.0,3.0
2018-03-29,3.0,214.05,642.14,6.0,3.0
2018-03-30,12.0,322.25,3866.94,11.0,5.0
2018-03-31,17.0,189.76,3225.86,20.0,9.0
2018-04-01,2.0,199.68,399.36,4.0,2.0
2018-04-02,12.0,81.97,983.65,14.0,6.0
2018-04-03,6.0,85.76,514.54,7.0,5.0
2018-04-04,4.0,70.32,281.29,6.0,3.0
2018-04-05,2.0,227.17,454.35,3.0,1.0
2018-04-06,18.0,155.5,2799.08,8.0,3.0
2018-04-07,7.0,99.94,699.61,6.0,3.0
2018-04-08,15.0,166.05,2490.68,12.0,3.0
2018-04-09,11.0,234.01,2574.14,13.0,8.0
2018-04-10,8.0,115.62,924.93,8.0,4.0
2018-04-11,4.0,1136.96,4547.84,8.0,4.0
2018-04-12,2.0,67.58,135.15,3.0,1.0
2018-04-13,5.0,360.23,1801.16,10.0,5.0
2018-04-14,4.0,423.4,1693.59,6.0,3.0
2018-04-15,8.0,187.7,1501.57,13.0,6.0
2018-04-16,16.0,214.73,3435.74,21.0,9.0
2018-04-17,4.0,273.0,1092.0,8.0,4.0
2018-04-18,1.0,309.05,309.05,2.0,1.0
2018-04-19,2.0,646.03,1292.06,4.0,2.0
2018-04-20,3.0,418.75,1256.25,6.0,3.0
2018-04-21,6.0,164.29,985.76,7.0,4.0
2018-04-22,1.0,120.05,120.05,2.0,1.0
2018-04-23,6.0,576.71,3460.23,10.0,5.0
2018-04-24,3.0,321.37,964.1,6.0,3.0
2018-04-25,5.0,259.49,1297.45,6.0,3.0
2018-04-26,2.0,225.55,451.11,4.0,2.0
2018-04-27,0.0,0.0,0.0,0.0,0.0
2018-04-28,1.0,295.97,295.97,2.0,1.0
2018-04-29,1.0,114.34,114.34,2.0,1.0
2018-04-30,1.0,182.27,182.27,2.0,1.0
2018-05-01,3.0,328.53,985.6,5.0,2.0
2018-05-02,2.0,129.05,258.11,4.0,2.0
2018-05-03,4.0,173.44,693.75,8.0,4.0
