DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2021-04-25,7.0,183.62,1285.33,8.0,7.0
2021-04-26,70.0,198.59,13901.4,18.0,17.0
2021-04-27,46.0,204.71,9416.47,20.0,19.0
2021-04-28,49.0,215.45,10557.25,19.0,18.0
2021-04-29,68.0,219.25,14909.21,31.0,30.0
2021-04-30,297.0,221.81,65877.04,97.0,95.0
2021-05-01,11159.0,337.48,3765957.87,1490.0,1477.0
2021-05-02,1706.0,2301.68,3926670.53,1147.0,869.0
2021-05-03,1142.0,2657.02,3034317.04,883.0,633.0
2021-05-04,350.0,2819.33,986765.68,416.0,237.0
2021-05-05,269.0,2357.26,634103.49,332.0,189.0
2021-05-06,191.0,2473.23,472386.45,260.0,144.0
2021-05-07,155.0,2055.3,318572.1,212.0,123.0
2021-05-08,97.0,2657.96,257822.49,150.0,81.0
2021-05-09,119.0,2566.07,305362.86,164.0,86.0
2021-05-10,62.0,2570.01,159340.91,98.0,50.0
2021-05-11,35.0,1577.69,55219.31,63.0,33.0
2021-05-12,41.0,2198.69,90146.39,72.0,36.0
2021-05-13,48.0,1734.96,83277.97,84.0,45.0
2021-05-14,43.0,2277.31,97924.37,70.0,36.0
2021-05-15,55.0,3181.37,174975.58,85.0,44.0
2021-05-16,85.0,2937.88,249720.0,121.0,58.0
2021-05-17,53.0,1835.46,97279.56,78.0,43.0
2021-05-18,80.0,1583.61,126688.88,113.0,68.0
2021-05-19,52.0,1564.86,81372.77,79.0,48.0
2021-05-20,84.0,1574.22,132234.25,119.0,65.0
2021-05-21,90.0,1461.69,131551.89,118.0,70.0
2021-05-22,70.0,1358.96,95127.3,110.0,64.0
2021-05-23,74.0,1052.82,77908.78,105.0,61.0
2021-05-24,100.0,1196.24,119623.68,128.0,83.0
2021-05-25,80.0,1597.28,127782.6,111.0,65.0
2021-05-26,56.0,1768.64,99043.87,86.0,48.0
2021-05-27,73.0,1778.78,129850.84,105.0,59.0
2021-05-28,134.0,1639.5,219692.62,162.0,109.0
2021-05-29,145.0,1567.01,227217.17,183.0,110.0
2021-05-30,603.0,2097.83,1264990.24,572.0,346.0
2021-05-31,471.0,2772.15,1305683.74,504.0,345.0
2021-06-01,518.0,4002.97,2073539.33,558.0,373.0
2021-06-02,294.0,3676.91,1081012.87,305.0,189.0
2021-06-03,177.0,4416.84,781780.43,229.0,147.0
2021-06-04,125.0,3440.65,430080.91,159.0,90.0
2021-06-05,255.0,4554.49,1161394.0,323.0,213.0
2021-06-06,347.0,4552.07,1579569.91,418.0,266.0
2021-06-07,525.0,6060.07,3181534.72,531.0,357.0
2021-06-08,267.0,6655.65,1777059.48,329.0,220.0
2021-06-09,162.0,6260.29,1014166.7,210.0,126.0
2021-06-10,128.0,5967.86,763886.15,184.0,104.0
2021-06-11,127.0,5653.3,717969.6,191.0,103.0
2021-06-12,79.0,5642.83,445783.61,118.0,72.0
