DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2022-01-06,161,1444.91,232630.7,225,108
2022-01-07,310,1473.57,456805.5,448,222
2022-01-08,690,2349.86,1621404.58,781,410
2022-01-09,495,2916.78,1443804.64,641,335
2022-01-10,233,2663.81,620667.45,305,144
2022-01-11,771,3462.57,2669642.1,992,532
2022-01-12,182,4099.64,746134.95,273,126
2022-01-13,133,3432.97,456585.43,202,96
2022-01-14,125,3310.53,413816.41,198,104
2022-01-15,193,3747.09,723187.45,305,138
2022-01-16,102,3405.01,347311.43,171,83
2022-01-17,112,3149.15,352704.5,161,79
2022-01-18,61,2851.3,173929.59,83,43
2022-01-19,148,2543.64,376459.17,229,113
2022-01-20,1052,3488.47,3669868.23,1061,554
2022-01-21,2570,2606.39,6698419.76,1780,1054
2022-01-22,1193,4355.51,5196119.86,1043,582
2022-01-23,789,6885.4,5432577.55,782,399
2022-01-24,744,6044.12,4496826.53,700,403
2022-01-25,8715,3922.19,34181924.65,3534,3106
2022-01-26,2863,4212.84,12061354.26,1922,1198
2022-01-27,5626,2266.68,12752354.8,2643,1930
2022-01-28,1697,3377.6,5731789.22,1261,720
2022-01-29,1047,3986.09,4173436.46,899,512
2022-01-30,1156,3690.97,4266756.12,975,572
2022-01-31,795,3452.12,2744436.4,703,339
2022-02-01,504,3950.82,1991212.91,490,269
2022-02-02,519,3603.59,1870261.46,567,283
2022-02-03,439,4561.49,2002494.45,480,224
2022-02-04,327,4015.29,1313000.04,352,151
2022-02-05,282,4499.06,1268735.06,288,135
2022-02-06,429,3851.39,1652247.14,402,221
2022-02-07,679,3479.5,2362583.82,623,381
2022-02-08,354,3135.1,1109825.47,366,205
2022-02-09,502,2667.84,1339256.42,415,248
2022-02-10,450,2875.89,1294148.29,436,256
2022-02-11,139,3517.17,488886.12,176,73
2022-02-12,116,2837.01,329093.21,148,61
2022-02-13,120,3377.53,405304.09,146,78
2022-02-14,137,2699.64,369850.01,164,77
2022-02-15,164,2833.65,464718.3,179,92
2022-02-16,181,3264.64,590900.38,188,90
2022-02-17,251,2768.62,694923.22,242,116
2022-02-18,247,3576.72,883448.7,273,136
2022-02-19,84,2549.72,214176.58,117,54
2022-02-20,115,2167.73,249289.44,121,54
2022-02-21,101,3067.52,309819.73,135,64
2022-02-22,234,1593.08,372781.28,205,101
2022-02-23,173,2071.34,358342.16,184,78
2022-02-24,177,2110.37,373536.28,211,108
2022-02-25,364,2173.78,791254.25,382,181
2022-02-26,151,1585.79,239454.12,138,75
2022-02-27,136,1954.67,265835.11,162,87
2022-02-28,145,2493.72,361589.22,191,94
2022-03-01,63,2594.52,163454.49,83,37
2022-03-02,118,1838.58,216952.3,145,71
2022-03-03,106,1289.38,136673.97,105,43
2022-03-04,122,1606.7,196017.22,134,50
2022-03-05,81,1659.93,134454.6,92,43
2022-03-06,55,2285.76,125717.04,74,36
2022-03-07,55,1354.8,74513.87,66,29
2022-03-08,93,1657.56,154153.34,95,45
2022-03-09,79,1714.5,135445.41,101,49
2022-03-10,77,1565.7,120559.1,92,52
2022-03-11,65,1261.0,81964.98,80,38
2022-03-12,77,1748.02,134597.28,97,50
2022-03-13,111,1303.65,144705.3,111,47
2022-03-14,63,1836.35,115690.33,88,44
2022-03-15,32,1802.69,57686.05,47,18
2022-03-16,26,1280.05,33281.39,34,15
2022-03-17,32,2465.2,78886.53,50,23
2022-03-18,60,2670.8,160247.96,83,36
2022-03-19,336,1576.66,529758.72,335,167
2022-03-20,73,1932.86,141098.59,88,41
2022-03-21,166,3281.84,544785.35,177,82
2022-03-22,139,1647.44,228994.74,130,65
2022-03-23,136,1799.51,244733.32,154,65
