DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2017-06-22,0.0,0.0,0.0,0.0,0.0
2017-06-23,19.0,53.7,1020.3,8.0,8.0
2017-06-24,21.0,59.09,1240.84,17.0,9.0
2017-06-25,13.0,39.81,517.55,10.0,7.0
2017-06-26,14.0,30.33,424.63,14.0,6.0
2017-06-27,33.0,63.42,2092.91,22.0,8.0
2017-06-28,15.0,83.15,1247.26,11.0,7.0
2017-06-29,38.0,57.52,2185.72,20.0,13.0
2017-06-30,21.0,81.34,1708.15,13.0,10.0
2017-07-01,10.0,314.08,3140.8,13.0,5.0
2017-07-02,31.0,94.34,2924.61,21.0,12.0
2017-07-03,51.0,142.15,7249.8,24.0,11.0
2017-07-04,58.0,232.86,13505.93,28.0,14.0
2017-07-05,18.0,102.24,1840.28,12.0,7.0
2017-07-06,23.0,305.31,7022.18,15.0,9.0
2017-07-07,37.0,191.42,7082.51,19.0,6.0
2017-07-08,30.0,107.6,3227.88,18.0,9.0
2017-07-09,12.0,80.76,969.1,16.0,8.0
2017-07-10,17.0,288.83,4910.06,22.0,11.0
2017-07-11,43.0,132.78,5709.37,20.0,9.0
2017-07-12,17.0,104.63,1778.73,17.0,7.0
2017-07-13,31.0,171.0,5300.97,24.0,12.0
2017-07-14,7.0,64.06,448.4,6.0,4.0
2017-07-15,5.0,109.94,549.69,7.0,4.0
2017-07-16,3.0,106.4,319.2,4.0,2.0
2017-07-17,5.0,290.44,1452.2,7.0,4.0
2017-07-18,30.0,97.39,2921.67,17.0,10.0
2017-07-19,31.0,110.86,3436.75,12.0,8.0
2017-07-20,21.0,112.03,2352.71,10.0,5.0
2017-07-21,21.0,101.67,2135.0,12.0,4.0
2017-07-22,13.0,80.37,1044.77,13.0,7.0
2017-07-23,6.0,70.28,421.7,9.0,6.0
2017-07-24,15.0,75.12,1126.82,18.0,9.0
2017-07-25,8.0,221.18,1769.47,12.0,5.0
2017-07-26,5.0,62.9,314.52,7.0,4.0
2017-07-27,2.0,55.88,111.75,4.0,2.0
2017-07-28,5.0,74.8,374.0,8.0,4.0
2017-07-29,8.0,125.85,1006.8,7.0,4.0
2017-07-30,16.0,92.44,1478.99,10.0,7.0
2017-07-31,2.0,106.73,213.45,4.0,2.0
2017-08-01,2.0,54.5,109.0,4.0,2.0
2017-08-02,1.0,525.74,525.74,2.0,1.0
2017-08-03,21.0,219.04,4599.9,16.0,9.0
2017-08-04,0.0,0.0,0.0,0.0,0.0
2017-08-05,2.0,759.47,1518.93,2.0,1.0
2017-08-06,0.0,0.0,0.0,0.0,0.0
