date,weighted,close,high,low,open,volume
2017-01-01 9:01,8.3,8.18,8.6,8.08,8.13,494058.62
2017-01-02 9:01,8.27,8.36,8.53,8.05,8.18,576281.05
2017-01-03 9:01,9.27,9.69,10.02,8.24,8.36,1727093.22
2017-01-04 9:01,10.5,10.98,10.99,9.34,9.69,2520314.73
2017-01-05 9:01,10.66,10.28,11.8,9.08,10.98,3301868.66
2017-01-06 9:01,10.07,10.13,10.46,9.52,10.28,1390099.98
2017-01-07 9:01,9.9,9.96,10.21,9.58,10.13,655263.79
2017-01-08 9:01,10.23,10.44,10.58,9.89,9.96,622028.4
2017-01-09 9:01,10.61,10.37,10.94,10.23,10.44,750906.37
2017-01-10 9:01,10.6,10.66,10.75,10.34,10.37,569251.05
2017-01-11 9:01,10.07,9.9,10.84,9.47,10.66,1369411.64
2017-01-12 9:01,9.67,9.89,10.4,9.12,9.9,767211.3
2017-01-13 9:01,9.68,9.79,9.91,9.51,9.89,727665.4
2017-01-14 9:01,9.8,9.85,9.94,9.69,9.79,357369.07
2017-01-15 9:01,9.92,9.95,10.05,9.8,9.85,261429.64
2017-01-16 9:01,9.81,9.62,10.23,9.56,9.95,580658.15
2017-01-17 9:01,10.19,10.2,10.53,9.62,9.62,705202.76
2017-01-18 9:01,10.24,10.23,10.51,9.99,10.2,635612.04
2017-01-19 9:01,10.35,10.47,10.5,10.18,10.23,477203.58
2017-01-20 9:01,10.62,10.65,10.81,10.42,10.47,637465.38
2017-01-21 9:01,10.83,10.99,11.06,10.58,10.65,635251.37
2017-01-22 9:01,10.88,10.78,11.07,10.66,10.99,525789.51
2017-01-23 9:01,10.76,10.79,10.85,10.65,10.78,403154.84
2017-01-24 9:01,10.65,10.51,10.92,10.51,10.79,536371.79
2017-01-25 9:01,10.54,10.52,10.66,10.43,10.51,437457.96
2017-01-26 9:01,10.58,10.66,10.66,10.5,10.52,454473.45
2017-01-27 9:01,10.53,10.51,10.67,10.42,10.66,481848.22
2017-01-28 9:01,10.53,10.57,10.58,10.47,10.51,275287.46
2017-01-29 9:01,10.54,10.5,10.58,10.46,10.57,189086.3
2017-01-30 9:01,10.52,10.59,10.71,10.37,10.5,437746.54
2017-01-31 9:01,10.66,10.74,10.79,10.58,10.59,413350.16
2017-02-01 9:02,10.69,10.73,10.86,10.51,10.74,630953.69
2017-02-02 9:02,10.73,10.82,10.86,10.62,10.73,513774.84
2017-02-03 9:02,10.81,10.95,10.95,10.67,10.82,531755.42
2017-02-04 9:02,11.27,11.42,11.45,10.94,10.95,965965.73
2017-02-05 9:02,11.29,11.29,11.44,11.15,11.42,453748.39
2017-02-06 9:02,11.32,11.34,11.42,11.22,11.29,509447.54
2017-02-07 9:02,11.45,11.49,11.59,11.29,11.34,643851.89
2017-02-08 9:02,11.4,11.45,11.65,11.15,11.49,1006729.73
2017-02-09 9:02,11.04,10.99,11.54,10.61,11.45,1229309.94
2017-02-10 9:02,11.19,11.38,11.48,10.88,10.99,768879.39
2017-02-11 9:02,11.43,11.49,11.5,11.34,11.38,403164.61
2017-02-12 9:02,11.48,11.48,11.54,11.4,11.49,264674.2
2017-02-13 9:02,11.37,11.44,11.54,11.21,11.48,559274.36
2017-02-14 9:02,12.51,13.02,14.7,11.39,11.44,2938787.27
2017-02-15 9:02,12.97,12.98,14,12.66,13.02,1662522.93
2017-02-16 9:02,12.82,12.89,13.03,12.62,12.98,1133886.62
2017-02-17 9:02,12.83,12.75,12.95,12.71,12.89,1163632.19
2017-02-18 9:02,12.86,12.89,12.93,12.75,12.75,581885.8
2017-02-19 9:02,12.89,12.9,12.95,12.79,12.89,448524.09
2017-02-20 9:02,12.85,12.61,12.95,12.56,12.9,893778.72
2017-02-21 9:02,12.68,12.83,12.87,12.3,12.61,1249472.69
2017-02-22 9:02,12.8,12.75,12.99,12.68,12.83,1031954.05
2017-02-23 9:02,13,13.21,13.37,12.73,12.75,1290646.25
2017-02-24 9:02,13.15,13.2,13.33,12.81,13.21,1860597.64
2017-02-25 9:02,13.51,13.65,13.87,13.06,13.2,1307178.81
2017-02-26 9:02,14.09,14.74,14.84,13.4,13.65,1418191.22
2017-02-27 9:02,15.12,15.66,16.32,14.37,14.74,3437218.12
2017-02-28 9:02,15.96,16.4,16.94,15.21,15.66,5496235.97
2017-03-01 9:03,16.22,17.37,17.58,15.68,16.4,4080210.08
2017-03-02 9:03,18.48,19.27,19.99,16.88,17.37,6530061.52
2017-03-03 9:03,19.84,19.68,21.49,18.2,19.27,8292701.24
