DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2018-04-02,0.0,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.0,0.0,0.0,0.0
2018-04-04,0.0,0.0,0.0,0.0,0.0
2018-04-05,2.0,174.93,349.86,2.0,1.0
2018-04-06,2.0,176.85,353.71,2.0,1.0
2018-04-07,0.0,0.0,0.0,0.0,0.0
2018-04-08,0.0,0.0,0.0,0.0,0.0
2018-04-09,0.0,0.0,0.0,0.0,0.0
2018-04-10,0.0,0.0,0.0,0.0,0.0
2018-04-11,0.0,0.0,0.0,0.0,0.0
2018-04-12,0.0,0.0,0.0,0.0,0.0
2018-04-13,0.0,0.0,0.0,0.0,0.0
2018-04-14,1.0,206.84,206.84,2.0,1.0
2018-04-15,0.0,0.0,0.0,0.0,0.0
2018-04-16,0.0,0.0,0.0,0.0,0.0
2018-04-17,1.0,214.51,214.51,2.0,1.0
2018-04-18,0.0,0.0,0.0,0.0,0.0
2018-04-19,3.0,91.4,274.21,4.0,2.0
2018-04-20,3.0,354.94,1064.82,6.0,3.0
2018-04-21,0.0,0.0,0.0,0.0,0.0
2018-04-22,0.0,0.0,0.0,0.0,0.0
2018-04-23,1.0,271.57,271.57,2.0,1.0
2018-04-24,1.0,190.91,190.91,2.0,1.0
2018-04-25,4.0,271.44,1085.74,8.0,4.0
2018-04-26,0.0,0.0,0.0,0.0,0.0
2018-04-27,2.0,131.41,262.82,4.0,2.0
2018-04-28,2.0,80.25,160.5,3.0,2.0
2018-04-29,1.0,100.89,100.89,2.0,1.0
2018-04-30,5.0,402.77,2013.84,7.0,4.0
2018-05-01,2.0,231.96,463.91,4.0,2.0
2018-05-02,1.0,93.13,93.13,2.0,1.0
2018-05-03,1.0,169.14,169.14,2.0,1.0
2018-05-04,0.0,0.0,0.0,0.0,0.0
2018-05-05,0.0,0.0,0.0,0.0,0.0
2018-05-06,0.0,0.0,0.0,0.0,0.0
2018-05-07,0.0,0.0,0.0,0.0,0.0
