DateTime,Number of sales,Average USD,Sales USD,Active market wallets,Unique buyers
2019-12-02,0.0,0.0,0.0,0.0,0.0
2019-12-03,0.0,0.0,0.0,0.0,0.0
2019-12-04,12.0,28.19,338.34,5.0,4.0
2019-12-05,2972.0,26.19,77827.27,170.0,168.0
2019-12-06,8.0,55.09,440.73,10.0,7.0
2019-12-07,2.0,74.15,148.31,4.0,2.0
2019-12-08,1.0,58.86,58.86,2.0,1.0
2019-12-09,4.0,52.6,210.41,2.0,1.0
2019-12-10,41.0,29.48,1208.83,7.0,4.0
2019-12-11,72.0,26.08,1877.57,3.0,2.0
2019-12-12,23.0,30.6,703.81,7.0,4.0
2019-12-13,59.0,45.23,2668.48,6.0,3.0
2019-12-14,14.0,48.55,679.71,5.0,2.0
2019-12-15,6.0,38.3,229.79,4.0,2.0
2019-12-16,11.0,125.93,1385.23,6.0,2.0
2019-12-17,5.0,39.29,196.43,7.0,4.0
2019-12-18,12.0,30.29,363.48,7.0,4.0
2019-12-19,1.0,35.84,35.84,2.0,1.0
2019-12-20,3.0,38.42,115.27,4.0,2.0
2019-12-21,34.0,31.58,1073.62,5.0,3.0
2019-12-22,0.0,0.0,0.0,0.0,0.0
2019-12-23,0.0,0.0,0.0,0.0,0.0
2019-12-24,1.0,34.61,34.61,2.0,1.0
2019-12-25,0.0,0.0,0.0,0.0,0.0
2019-12-26,2.0,35.63,71.26,3.0,1.0
2019-12-27,0.0,0.0,0.0,0.0,0.0
2019-12-28,1.0,35.37,35.37,2.0,1.0
2019-12-29,0.0,0.0,0.0,0.0,0.0
2019-12-30,0.0,0.0,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.0,0.0,0.0
2020-01-01,30.0,31.0,930.14,2.0,1.0
2020-01-02,0.0,0.0,0.0,0.0,0.0
2020-01-03,16.0,37.32,597.11,3.0,1.0
2020-01-04,2.0,36.1,72.2,2.0,1.0
2020-01-05,5.0,35.95,179.74,2.0,1.0
2020-01-06,2.0,36.45,72.9,2.0,1.0
2020-01-07,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0
2020-01-09,1.0,37.17,37.17,2.0,1.0
2020-01-10,0.0,0.0,0.0,0.0,0.0
2020-01-11,2.0,41.65,83.3,4.0,2.0
2020-01-12,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0
2020-01-18,1.0,44.02,44.02,2.0,1.0
2020-01-19,5.0,41.49,207.47,3.0,2.0
2020-01-20,2.0,40.12,80.23,2.0,1.0
2020-01-21,0.0,0.0,0.0,0.0,0.0
2020-01-22,15.0,38.39,575.82,5.0,3.0
2020-01-23,23.0,45.21,1039.91,6.0,3.0
2020-01-24,0.0,0.0,0.0,0.0,0.0
2020-01-25,1.0,41.18,41.18,2.0,1.0
2020-01-26,0.0,0.0,0.0,0.0,0.0
2020-01-27,3.0,103.41,310.22,3.0,1.0
2020-01-28,5.0,32.75,163.73,4.0,2.0
2020-01-29,0.0,0.0,0.0,0.0,0.0
2020-01-30,1.0,48.46,48.46,2.0,1.0
2020-01-31,4.0,54.57,218.29,7.0,4.0
2020-02-01,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0
2020-02-05,5.0,8.93,44.65,5.0,4.0
2020-02-06,15.0,42.75,641.26,2.0,1.0
2020-02-07,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0
2020-02-09,10.0,66.03,660.34,7.0,3.0
2020-02-10,110.0,36.31,3993.93,9.0,6.0
2020-02-11,5477.0,31.53,172684.25,297.0,296.0
2020-02-12,403.0,36.35,14648.63,74.0,68.0
2020-02-13,434.0,31.53,13683.53,60.0,56.0
2020-02-14,115.0,33.52,3854.32,30.0,29.0
2020-02-15,74.0,38.0,2812.04,28.0,25.0
2020-02-16,41.0,41.43,1698.73,16.0,8.0
2020-02-17,105.0,41.39,4345.96,20.0,12.0
2020-02-18,185.0,78.47,14517.26,31.0,13.0
2020-02-19,130.0,112.39,14611.03,19.0,9.0
2020-02-20,39.0,88.97,3469.93,14.0,5.0
2020-02-21,11.0,64.97,714.71,10.0,6.0
2020-02-22,65.0,55.27,3592.85,14.0,8.0
2020-02-23,28.0,87.88,2460.52,13.0,8.0
2020-02-24,42.0,94.94,3987.61,15.0,7.0
2020-02-25,44.0,37.62,1655.15,12.0,6.0
2020-02-26,26.0,61.64,1602.74,12.0,7.0
2020-02-27,4.0,52.91,211.66,6.0,3.0
2020-02-28,24.0,87.84,2108.07,8.0,3.0
2020-02-29,26.0,61.59,1601.3,7.0,3.0
2020-03-01,0.0,0.0,0.0,0.0,0.0
2020-03-02,13.0,62.63,814.25,8.0,4.0
2020-03-03,6.0,52.49,314.96,7.0,3.0
2020-03-04,38.0,62.21,2364.11,5.0,2.0
2020-03-05,4.0,49.59,198.34,4.0,2.0
2020-03-06,8.0,57.58,460.6,5.0,2.0
2020-03-07,13.0,83.67,1087.66,6.0,3.0
2020-03-08,9.0,46.55,418.98,7.0,3.0
2020-03-09,2.0,49.22,98.44,4.0,2.0
2020-03-10,2.0,50.15,100.29,2.0,1.0
2020-03-11,10.0,71.93,719.26,13.0,7.0
2020-03-12,31.0,39.83,1234.86,12.0,7.0
2020-03-13,25.0,35.66,891.55,11.0,5.0
2020-03-14,19.0,37.81,718.35,10.0,3.0
2020-03-15,48.0,42.52,2041.18,10.0,4.0
2020-03-16,16.0,39.08,625.24,9.0,3.0
2020-03-17,28.0,49.12,1375.45,10.0,3.0
2020-03-18,12.0,54.58,654.91,8.0,4.0
2020-03-19,0.0,0.0,0.0,0.0,0.0
2020-03-20,2.0,39.93,79.86,4.0,2.0
2020-03-21,13.0,51.56,670.22,9.0,5.0
2020-03-22,13.0,47.82,621.62,7.0,4.0
